pathwayName,pathwayId,pathwaySource,Pval,Num_In_Path,Total_In_Path,Pval_FDR,Pval_Holm,analytes,,,,,
Metabolism of fat-soluble vitamins,R-HSA-6806667,reactome,0.999594215,3,46,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0);CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Arachidonic acid metabolism,R-HSA-2142753,reactome,0.999998873,2,110,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
G alpha (i) signalling events,R-HSA-418594,reactome,1,2,109,1,1,"Glutamate; L-Glutamic acid;DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
Class C/3 (Metabotropic glutamate/pheromone receptors),R-HSA-420499,reactome,0.999351633,2,57,1,1,Glutamate; L-Glutamic acid;Ornithine,,,,,
"Transport of bile salts and organic acids, metal ions and amine compounds",R-HSA-425366,reactome,0.999999752,9,78,1,1,Glycine;L-Tyrosine;L-Proline;L-Asparagine;Histidine; L-Histidine;L-Serine; Serine;Uric acid;4-Hydroxyproline; hydroxy-proline;Dehydroepiandrosterone sulfate; DHEA-SO4; ST 19:1;O2;S,,,,,
Organic cation/anion/zwitterion transport,R-HSA-549132,reactome,0.972155993,2,34,1,1,Uric acid;Dehydroepiandrosterone sulfate; DHEA-SO4; ST 19:1;O2;S,,,,,
Organic anion transport,R-HSA-561048,reactome,0.651110258,2,8,1,1,Uric acid;Dehydroepiandrosterone sulfate; DHEA-SO4; ST 19:1;O2;S,,,,,
Metabolism of water-soluble vitamins and cofactors,R-HSA-196849,reactome,1,5,133,1,1,Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine;Pantothenic acid;Thiamine; THMN,,,,,
Cellular responses to stress,R-HSA-2262752,reactome,0.995366228,2,90,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Cellular responses to stimuli,R-HSA-8953897,reactome,0.995366228,2,92,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Glycerophospholipid biosynthesis,R-HSA-1483206,reactome,1,2,102,1,1,"L-Serine; Serine;TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",,,,,
Phospholipid metabolism,R-HSA-1483257,reactome,1,2,112,1,1,"L-Serine; Serine;TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",,,,,
Hemostasis,R-HSA-109582,reactome,0.926911065,3,83,1,1,"Citrulline;TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Neurotransmitter receptors and postsynaptic signal transmission,R-HSA-112314,reactome,1,3,25,1,1,Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
Transmission across Chemical Synapses,R-HSA-112315,reactome,1,3,78,1,1,Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
Neuronal System,R-HSA-112316,reactome,1,3,78,1,1,Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
Binding and Uptake of Ligands by Scavenger Receptors,R-HSA-2173782,reactome,0.998929633,3,41,1,1,"bGalNAc; N-Acetyl-b-D-galactosamine;TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Scavenging by Class B Receptors,R-HSA-3000471,reactome,0.589589731,2,16,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Scavenging by Class A Receptors,R-HSA-3000480,reactome,0.949365755,3,32,1,1,"bGalNAc; N-Acetyl-b-D-galactosamine;TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Scavenging by Class H Receptors,R-HSA-3000497,reactome,0.520651836,2,11,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Vesicle-mediated transport,R-HSA-5653656,reactome,0.990843933,3,66,1,1,"bGalNAc; N-Acetyl-b-D-galactosamine;TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Signaling by Receptor Tyrosine Kinases,R-HSA-9006934,reactome,0.998743622,3,64,1,1,"Citrulline;ADMA; Symmetric dimethylarginine;DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
Metabolism of folate and pterines,R-HSA-196757,reactome,0.895455505,3,26,1,1,Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
Glyoxylate metabolism and glycine degradation,R-HSA-389661,reactome,0.99916634,2,40,1,1,Glycine;4-Hydroxyproline; hydroxy-proline,,,,,
Metabolic disorders of biological oxidation enzymes,R-HSA-5579029,reactome,0.999610249,2,51,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Biosynthesis of specialized proresolving mediators (SPMs),R-HSA-9018678,reactome,0.977596631,2,116,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Selenoamino acid metabolism,R-HSA-2408522,reactome,1,3,68,1,1,Glycine;L-Serine; Serine;bGalNAc; N-Acetyl-b-D-galactosamine,,,,,
ROS and RNS production in phagocytes,R-HSA-1222556,reactome,0.999496786,2,48,1,1,bGalNAc; N-Acetyl-b-D-galactosamine;Citrulline,,,,,
Innate Immune System,R-HSA-168249,reactome,0.994008053,5,128,1,1,"bGalNAc; N-Acetyl-b-D-galactosamine;Citrulline;TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0);CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Biosynthesis of DHA-derived SPMs,R-HSA-9018677,reactome,0.947415607,2,57,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Biosynthesis of DHA-derived sulfido conjugates,R-HSA-9026395,reactome,0.444692488,2,22,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Biosynthesis of maresin conjugates in tissue regeneration (MCTR),R-HSA-9026762,reactome,0.444692488,2,9,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Phase II - Conjugation of compounds,R-HSA-156580,reactome,1,4,149,1,1,Glycine;Glutamate; L-Glutamic acid;Pregnenolone sulfate; PREGS;Dehydroepiandrosterone sulfate; DHEA-SO4; ST 19:1;O2;S,,,,,
Drug ADME,R-HSA-9748784,reactome,1,2,115,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Paracetamol ADME,R-HSA-9753281,reactome,0.997161119,2,31,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Cytosolic sulfonation of small molecules,R-HSA-156584,reactome,0.992722894,2,47,1,1,Pregnenolone sulfate; PREGS;Dehydroepiandrosterone sulfate; DHEA-SO4; ST 19:1;O2;S,,,,,
Glutathione conjugation,R-HSA-156590,reactome,0.999496786,2,30,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR),R-HSA-9026766,reactome,0.362793463,2,18,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Tyrosine catabolism,R-HSA-8963684,reactome,0.70527381,2,14,1,1,Glutamate; L-Glutamic acid;L-Tyrosine,,,,,
Phenylalanine and tyrosine metabolism,R-HSA-8963691,reactome,0.957337338,2,31,1,1,Glutamate; L-Glutamic acid;L-Tyrosine,,,,,
SLC transporter disorders,R-HSA-5619102,reactome,0.999999997,8,81,1,1,Glycine;Glutamate; L-Glutamic acid;L-Tyrosine;L-Proline;Histidine; L-Histidine;L-Serine; Serine;L-Cystine;Uric acid,,,,,
Disorders of transmembrane transporters,R-HSA-5619115,reactome,1,10,99,1,1,"Glycine;Glutamate; L-Glutamic acid;L-Tyrosine;L-Proline;Histidine; L-Histidine;L-Serine; Serine;L-Cystine;Uric acid;Chenodeoxycholic acid glycine conjugate; GCDCA;Tauroursodeoxycholic acid;2-[(3a,7a-dihydroxy-24-oxo-5beta-cholan-24-yl)amino]ethanesulfonate; Taurochenodesoxycholic acid; TCDCA",,,,,
Purine ribonucleoside monophosphate biosynthesis,R-HSA-73817,reactome,0.920840385,2,37,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Nucleotide biosynthesis,R-HSA-8956320,reactome,0.965486385,2,48,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Degradation of cysteine and homocysteine,R-HSA-1614558,reactome,0.972155993,2,38,1,1,Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
Sulfur amino acid metabolism,R-HSA-1614635,reactome,0.999610249,2,66,1,1,Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
Carnitine synthesis,R-HSA-71262,reactome,0.520651836,2,17,1,1,"Glycine;N6,N6,N6-Trimethyl-L-lysine; TMLYS",,,,,
RAF/MAP kinase cascade,R-HSA-5673001,reactome,0.98101357,4,46,1,1,"Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine;DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
MAPK family signaling cascades,R-HSA-5683057,reactome,0.947415607,4,46,1,1,"Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine;DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
MAPK1/MAPK3 signaling,R-HSA-5684996,reactome,0.947415607,4,46,1,1,"Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine;DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
Platelet homeostasis,R-HSA-418346,reactome,0.999999997,3,36,1,1,"Citrulline;TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
ESR-mediated signaling,R-HSA-8939211,reactome,1,2,35,1,1,Citrulline;ADMA; Symmetric dimethylarginine,,,,,
Signaling by Nuclear Receptors,R-HSA-9006931,reactome,0.998743622,2,53,1,1,Citrulline;ADMA; Symmetric dimethylarginine,,,,,
G alpha (q) signalling events,R-HSA-416476,reactome,1,2,63,1,1,Glutamate; L-Glutamic acid;Ornithine,,,,,
"Metabolism of ingested SeMet, Sec, MeSec into H2Se",R-HSA-2408508,reactome,0.935380604,2,33,1,1,Glycine;L-Serine; Serine,,,,,
