"","GENN.freq","GNN.SigProp.freq"
"ATP6V0A1__Kynurenic.acid",1,0
"ATP6V1F__porphobilinogen",1,0
"ATPIF1__porphobilinogen",1,0
"ATR__porphobilinogen",1,0
"ATXN1L__porphobilinogen",13,0
"ATXN2__tyrosine",1,0
"AURKAIP1__phosphoenolpyruvate",1,0
"AVEN__sn.Glycerol.3.phosphate",1,0
"AVPI1__porphobilinogen",1,0
"AXIN2__porphobilinogen",1,0
"AZIN1__gamma.glu.cys",4,0
"AZIN1__X.3803",0,2
"B3GALT1__guanine",1,0
"B3GAT2__oxitryptan",4,0
"B3GAT2__sn.Glycerol.3.phosphate",1,0
"B3GNT2__X.4238",0,1
"B3GNT4__Kynurenic.acid",1,0
"B4GALNT1__porphobilinogen",1,0
"B4GALNT3__succinate",2,0
"B4GALT4__X.4238",0,1
"B4GALT4__X2..deoxyuridine.5..triphosphate",0,1
"BACE1__Kynurenic.acid",7,0
"BAD__creatinine",1,0
"BAG3__inosine",1,0
"BAG3__L.alpha.glycerophosphorylcholine",1,0
"BAG6__X.3955",0,1
"BAIAP2__DL.cystathionine",2,0
"BAK1__Kynurenic.acid",5,0
"BARX1__Kynurenic.acid",1,0
"BASP1__L.alpha.glycerophosphorylcholine",1,0
"BATF__S.adenosyl.l.homocysteine",1,0
"BATF3__caffeine",1,0
"BAX__cysteine",1,0
"BAZ2B__porphobilinogen",6,0
"BAZ2B__sn.Glycerol.3.phosphate",3,0
"BBS12__creatinine",2,0
"BBS9__guanosine",1,0
"BCKDHA__caffeine",1,0
"BCL6B__L.alpha.glycerophosphorylcholine",2,0
"BCL7A__cysteine",1,0
"BCL9__succinate",1,0
"BCO2__porphobilinogen",6,0
"BCOR__creatinine",1,0
"BDNF__porphobilinogen",9,0
"BECN1__sn.Glycerol.3.phosphate",1,0
"BEGAIN__guanosine.5...monophosphate",1,0
"BEND4__porphobilinogen",4,0
"BGLT3__porphobilinogen",1,0
"BICC1__cysteine",2,0
"BICC1__porphobilinogen",1,0
"BIN2__Kynurenic.acid",1,0
"BIN2__L.alpha.glycerophosphorylcholine",1,0
"BIRC2__porphobilinogen",3,0
"BIRC5__citric.acid",1,0
"BLMH__gamma.L.glutamyl.L.glutamine",1,0
"BLMH__guanine",0,1
"BLOC1S2__gamma.glu.cys",1,0
"BLOC1S3__porphobilinogen",1,0
"BLVRA__gamma.glu.cys",2,0
"BLZF1__creatinine",1,0
"BLZF1__N.5...aminocarbonyl..L.ornithine",1,0
"BMF__guanine",1,0
"BMP3__homogentisate",1,0
"BMP4__cysteine",1,0
"BMPER__L.alpha.glycerophosphorylcholine",1,0
"BNIP1__Kynurenic.acid",2,0
"BOC__succinate",1,0
"BOD1L2__guanosine",1,0
"BOK__uracil",1,0
"BOLA3__porphobilinogen",1,0
"BPIFB4__gamma.glu.cys",2,0
"BPNT1__porphobilinogen",1,0
"BPNT1__succinate",1,0
"BRAF__porphobilinogen",5,0
"BRAP__sn.Glycerol.3.phosphate",1,0
"BRD2__sn.Glycerol.3.phosphate",5,0
"BRD3__gamma.glu.cys",2,0
"BRD7P3__L.alpha.glycerophosphorylcholine",1,0
"BRDT__phosphoenolpyruvate",1,0
"BRINP1__Kynurenic.acid",1,0
"BRINP1__sorbitol",1,0
"BRIX1__porphobilinogen",1,0
"BROX__X.4238",0,1
"BSN__uracil",1,0
"BTBD11__Kynurenic.acid",1,0
"BTBD6__X.4238",0,1
"BTF3__porphobilinogen",1,0
"BTF3L4__creatinine",9,0
"BTF3P11__glutamine",1,0
"BTN2A3P__creatinine",14,0
"BTN3A1__X.p.Hydroxyphenyl.lactic.acid",3,0
"BTN3A2__X.p.Hydroxyphenyl.lactic.acid",6,0
"BTN3A3__X.p.Hydroxyphenyl.lactic.acid",1,0
"BTNL8__porphobilinogen",2,0
"BTRC__creatinine",1,0
"BUD31__porphobilinogen",2,0
"BVES__caffeine",2,0
"BVES.AS1__porphobilinogen",1,0
"BYSL__L.alpha.glycerophosphorylcholine",1,0
"BZW2__X.p.Hydroxyphenyl.lactic.acid",2,0
"C10orf10__guanine",1,0
"C10orf10__succinate",2,0
"C10orf54__cysteine",1,0
"C10orf62__L.alpha.glycerophosphorylcholine",1,0
"C11orf68__porphobilinogen",1,0
"C11orf86__porphobilinogen",4,0
"C11orf95__cysteine",1,0
"C11orf96__porphobilinogen",1,0
"C12orf42__guanine",0,1
"C12orf57__porphobilinogen",12,0
"C14orf1__sn.Glycerol.3.phosphate",1,0
"C14orf2__porphobilinogen",1,0
"C14orf28__uracil",1,0
"C15orf61__porphobilinogen",1,0
"C16orf45__caffeine",1,0
"C16orf74__X.4238",0,1
"C16orf93__porphobilinogen",1,0
"C17orf75__X.p.Hydroxyphenyl.lactic.acid",8,0
"C17orf97__anthranilic.acid",1,0
"C19orf18__sn.Glycerol.3.phosphate",14,0
"C19orf66__citric.acid",0,1
"C19orf66__malic.acid",1,0
"C19orf66__uridine",2,0
"C1D__succinate",1,0
"C1orf106__cysteine",2,0
"C1orf109__L.alpha.glycerophosphorylcholine",1,0
"C1orf109__porphobilinogen",2,0
"C1orf115__porphobilinogen",7,0
"C1orf116__cysteine",2,0
"C1orf131__porphobilinogen",1,0
"C1orf131__X5.oxoproline",1,0
"C1orf159__gamma.glu.cys",2,0
"C1orf226__cysteine",1,0
"C1orf27__creatinine",1,0
"C1orf52__porphobilinogen",1,0
"C1QA__porphobilinogen",1,0
"C1QBP__sn.Glycerol.3.phosphate",1,0
"C1QTNF4__L.alpha.glycerophosphorylcholine",1,0
"C1QTNF7__Kynurenic.acid",1,0
"C1R__L.alpha.glycerophosphorylcholine",1,0
"C1S__L.alpha.glycerophosphorylcholine",1,0
"C2__L.alpha.glycerophosphorylcholine",1,0
"C2__sn.Glycerol.3.phosphate",1,0
"C20orf195__porphobilinogen",11,0
"C20orf196__porphobilinogen",7,0
"C20orf96__X.4238",0,1
"C21orf33__L.alpha.glycerophosphorylcholine",1,0
"C21orf91__porphobilinogen",1,0
"C22orf46__porphobilinogen",1,0
"C2orf49__creatinine",2,0
"C2orf80__guanine",1,0
"C3__porphobilinogen",1,0
"C3AR1__citric.acid",0,1
"C3orf18__L.alpha.glycerophosphorylcholine",3,0
"C3orf18__porphobilinogen",2,0
"C3orf67__L.alpha.glycerophosphorylcholine",2,0
"C3orf70__tetradecanoic.acid",0,2
"C4orf26__porphobilinogen",1,0
"C4orf3__porphobilinogen",1,0
"C4orf32__porphobilinogen",11,0
"C4orf48__gamma.glu.cys",2,0
"C5AR2__uracil",1,0
"C5orf22__porphobilinogen",1,0
"C5orf51__porphobilinogen",4,0
"C5orf66__creatinine",1,0
"C5orf66__porphobilinogen",1,0
"C6orf106__porphobilinogen",1,0
"C6orf120__Kynurenic.acid",2,0
"C6orf132__phenylalanine",1,0
"C6orf15__porphobilinogen",2,0
"C6orf201__gamma.glu.cys",1,0
"C6orf226__N.5...aminocarbonyl..L.ornithine",2,0
"C6orf25__porphobilinogen",2,0
"C7orf49__uracil",1,0
"C7orf77__porphobilinogen",1,0
"C8A__phenylalanine",1,0
"C8orf33__X5.oxoproline",1,0
"C8orf59__L.alpha.glycerophosphorylcholine",1,0
"C8orf88__sn.Glycerol.3.phosphate",9,0
"C9orf116__porphobilinogen",1,0
"C9orf16__porphobilinogen",4,0
"C9orf16__sn.Glycerol.3.phosphate",7,0
"C9orf172__gamma.glu.cys",1,0
"C9orf172__porphobilinogen",1,0
"C9orf3__L.alpha.glycerophosphorylcholine",1,0
"C9orf78__L.alpha.glycerophosphorylcholine",1,0
"C9orf9__creatinine",12,0
"C9orf91__cysteine",3,0
"CA10__mannose",1,0
"CA14__adenine",1,0
"CA14__D.ribose",1,0
"CA14__hypotaurine",1,0
"CA14__inositol.1.phosphate",1,0
"CA14__leucine",1,0
"CA14__methionine",1,0
"CA14__phenylalanine",1,0
"CA14__proline",1,0
"CA14__valine",1,0
"CA3__uracil",1,0
"CA4__inosine",1,0
"CA6__sn.Glycerol.3.phosphate",6,0
"CA9__porphobilinogen",8,0
"CACFD1__porphobilinogen",9,0
"CACNA1C__porphobilinogen",3,0
"CACNA1H__X.4238",0,1
"CACNA1S__porphobilinogen",1,0
"CACNA2D1__L.alpha.glycerophosphorylcholine",5,0
"CACNA2D1__sn.Glycerol.3.phosphate",9,0
"CACNA2D2__sn.Glycerol.3.phosphate",1,0
"CACNA2D3__glutamine",1,0
"CACNA2D4__fumaric.acid",1,0
"CACNB1__L.alpha.glycerophosphorylcholine",3,0
"CACNB1__sn.Glycerol.3.phosphate",8,0
"CACNG1__caffeine",5,0
"CACNG3__porphobilinogen",1,0
"CACNG7__cysteine",1,0
"CACTIN__L.alpha.glycerophosphorylcholine",1,0
"CACYBP__porphobilinogen",6,0
"CADM2__porphobilinogen",3,0
"CADM4__guanine",1,0
"CADPS2__L.alpha.glycerophosphorylcholine",1,0
"CADPS2__X3.hydroxy.3.methylglutarate",1,0
"CALCOCO1__porphobilinogen",1,0
"CAMKK1__porphobilinogen",5,0
"CAMKMT__X.4238",0,1
"CAMTA2__guanosine",1,0
"CAMTA2__succinate",1,0
"CANT1__porphobilinogen",1,0
"CAP1__phosphoenolpyruvate",1,0
"CAPG__uridine",2,0
"CAPN10__porphobilinogen",1,0
"CAPN6__gamma.glu.cys",1,0
"CAPRIN1__porphobilinogen",1,0
"CAPRIN1__tetradecanoic.acid",1,0
"CAPS__alpha.D.ribose.5.phosphate",1,0
"CAPS2__sn.Glycerol.3.phosphate",2,0
"CAPZA2__Kynurenic.acid",1,0
"CARS2__porphobilinogen",2,0
"CARTPT__succinate",3,0
"CASKIN2__cysteine",1,0
"CASP10__porphobilinogen",1,0
"CASP5__uracil",1,0
"CASP7__citric.acid",1,0
"CASP7__phosphoenolpyruvate",1,0
"CASP7__X.4238",0,1
"CASP8__creatinine",1,0
"CATSPERB__glycerol",0,4
"CATSPERB__phosphate",0,3
"CBARP__porphobilinogen",1,0
"CBLN2__porphobilinogen",13,0
"CBR4__succinate",1,0
"CBX7__porphobilinogen",11,0
"CCBE1__porphobilinogen",2,0
"CCDC102B__gamma.glu.cys",1,0
"CCDC102B__Kynurenic.acid",2,0
"CCDC102B__porphobilinogen",1,0
"CCDC120__porphobilinogen",1,0
"CCDC130__porphobilinogen",1,0
"CCDC130__quinolinic.acid",30,0
"CCDC130__X.1213",0,1
"CCDC136__gamma.glu.cys",2,0
"CCDC144A__inosine",1,0
"CCDC17__porphobilinogen",1,0
"CCDC173__porphobilinogen",1,0
"CCDC186__gamma.glu.cys",2,0
"CCDC3__gamma.glu.cys",2,0
"CCDC37__porphobilinogen",1,0
"CCDC42__X.4238",0,1
"CCDC70__Kynurenic.acid",9,0
"CCDC71L__gamma.glu.cys",1,0
"CCDC71L__n.dodecanoate",1,0
"CCDC85C__cysteine",1,0
"CCDC88C__tetradecanoic.acid",1,0
"CCDC94__guanine",1,0
"CCDC96__L.alpha.glycerophosphorylcholine",1,0
"CCKAR__inosine",1,0
"CCKAR__porphobilinogen",1,0
"CCKBR__porphobilinogen",1,0
"CCL18__L.alpha.glycerophosphorylcholine",2,0
"CCL19__Kynurenic.acid",8,0
"CCL22__fumaric.acid",1,0
"CCL26__porphobilinogen",15,0
"CCL28__valine",1,0
"CCL5__creatinine",1,0
"CCL8__homogentisate",19,0
"CCNB1IP1__L.alpha.glycerophosphorylcholine",1,0
"CCND2__guanine",1,0
"CCNK__porphobilinogen",4,0
"CCNYL1__porphobilinogen",5,0
"CCR8__L.alpha.glycerophosphorylcholine",1,0
"CCS__porphobilinogen",1,0
"CCT6B__X5.oxoproline",1,0
"CD101__sn.Glycerol.3.phosphate",1,0
"CD163__L.alpha.glycerophosphorylcholine",1,0
"CD163L1__cysteine",2,0
"CD164__porphobilinogen",5,0
"CD180__porphobilinogen",2,0
"CD1A__tyrosine",1,0
"CD200__succinate",4,0
"CD209__gamma.glu.cys",1,0
"CD247__gamma.glu.cys",1,0
"CD3D__gamma.glu.cys",1,0
"CD3E__inosine",1,0
"CD3E__methionine",1,0
"CD3E__valine",1,0
"CD3EAP__citric.acid",1,0
"CD3G__Kynurenic.acid",1,0
"CD44__porphobilinogen",1,0
"CD47__succinate",2,0
"CD59__caffeine",2,0
"CD69__citric.acid",0,1
"CD69__gamma.glu.cys",1,0
"CD69__guanine",1,0
"CD70__tryptophan",0,1
"CD93__X.4271",0,3
"CDC26__porphobilinogen",2,0
"CDC37L1__porphobilinogen",2,0
"CDC5L__inositol.1.phosphate",1,0
"CDC5L__Kynurenic.acid",4,0
"CDH10__porphobilinogen",7,0
"CDH10__quinolinic.acid",1,0
"CDH12__gamma.glu.cys",1,0
"CDH26__homogentisate",1,0
"CDH3__guanosine",1,0
"CDH7__porphobilinogen",1,0
"CDHR5__Kynurenic.acid",1,0
"CDK1__guanine",1,0
"CDK19__L.alpha.glycerophosphorylcholine",1,0
"CDK2__porphobilinogen",1,0
"CDK5RAP2__gamma.L.glutamyl.L.glutamine",1,0
"CDK5RAP3__porphobilinogen",1,0
"CDK5RAP3__tyrosine",1,0
"CDKL2__guanine",1,0
"CDKL2__sn.Glycerol.3.phosphate",1,0
"CDKN1A__gamma.glu.cys",1,0
"CDS2__anthranilic.acid",1,0
"CEACAM1__uracil",1,0
"CEACAM5__adenine",1,0
"CEACAM5__anthranilic.acid",4,0
"CEACAM5__asparagine",3,0
"CEACAM5__beta.alanine",2,0
"CEACAM5__caffeine",4,0
"CEACAM5__cholesterol",1,0
"CEACAM5__citric.acid",3,0
"CEACAM5__glyceraldehyde",2,0
"CEACAM5__guanine",2,0
"CEACAM5__guanosine",1,0
"CEACAM5__guanosine.5...monophosphate",3,0
"CEACAM5__histidine",2,0
"CEACAM5__hypotaurine",2,0
"CEACAM5__isoleucine",3,0
"CEACAM5__leucine",2,0
"CEACAM5__methionine",3,0
"CEACAM5__n.hexadecanoic.acid",1,0
"CEACAM5__ornithine",4,0
"CEACAM5__phenylalanine",3,0
"CEACAM5__proline",1,0
"CEACAM5__serine",2,0
"CEACAM5__taurine",1,0
"CEACAM5__tetradecanoic.acid",1,0
"CEACAM5__trans.4.hydroxyproline",3,0
"CEACAM5__tryptophan",3,0
"CEACAM5__tyramine",4,0
"CEACAM5__tyrosine",3,0
"CEACAM5__valine",4,0
"CEACAM5__X2..deoxyadenosine.5..diphosphate",1,0
"CEACAM5__X3.phospho.d.glycerate",2,0
"CEACAM5__xanthine",2,0
"CEACAM6__cysteine",1,0
"CEBPA.AS1__cysteine",1,0
"CEBPD__uracil",1,0
"CECR1__quinolinic.acid",1,0
"CELA2A__ethylmalonic.acid",1,0
"CELA3A__L.alpha.glycerophosphorylcholine",2,0
"CELP__hypoxanthine",1,0
"CELSR2__guanosine.5...monophosphate",1,0
"CELSR3__porphobilinogen",4,0
"CENPV__tetradecanoic.acid",1,0
"CEP192__porphobilinogen",6,0
"CEP250__guanine",1,0
"CEP250__X.4238",0,1
"CEP290__porphobilinogen",3,0
"CEP41__porphobilinogen",1,0
"CEP44__S.adenosyl.l.homocysteine",1,0
"CEP57__L.alpha.glycerophosphorylcholine",1,0
"CEP63__cysteine",1,0
"CEP68__porphobilinogen",1,0
"CEP72__sn.Glycerol.3.phosphate",1,0
"CEP76__X.p.Hydroxyphenyl.lactic.acid",1,0
"CER1__porphobilinogen",1,0
"CES2__succinate",3,0
"CFAP126__anthranilic.acid",1,0
"CFAP126__porphobilinogen",1,0
"CFAP126__tetradecanoic.acid",1,0
"CFAP126__tyramine",1,0
"CFAP97__porphobilinogen",3,0
"CFHR2__porphobilinogen",6,0
"CFHR2__succinate",1,0
"CFHR2__X5.oxoproline",1,0
"CFL2__uracil",1,0
"CFLAR__porphobilinogen",1,0
"CHAC2__porphobilinogen",1,0
"CHAD__tyrosine",1,0
