"","pathwayName","pathwayId","pathwaySource","Pval_Metab","Num_In_Path_Metab","Total_In_Path_Metab","Pval_Gene","Num_In_Path_Gene","Total_In_Path_Gene","Pval_combined","Pval_combined_FDR","Pval_combined_Holm","analytes","cluster_assignment"
"824","Death Receptor Signalling","R-HSA-73887","reactome",0.226057369327911,1,12,5.9766203594889e-13,83,145,1.3510590759377e-13,3.35686216559904e-11,4.34770810636751e-10,"N-(dodecanoyl)-sphing-4-enine-1-phosphocholine; SM(d18:1/20:0); SPHM;SGEF;RBCK1;RHOA;RIPK1;RASGRF2;RELA;RIPK2;RNF31;RPS27A;RTN4R;SOS1;RAC1;PREX1;PRKCI;PSEN2;CLIP3;C9orf100;BIRC2;BIRC3;BCL2L11;BAD;BAG4;CASP10;CASP3;AKAP13;AATF;ABR;CHUK;APH1B;ARHGDIA;ARHGEF1;ARHGEF10;ARHGEF10L;ARHGEF16;ARHGEF19;ARHGEF4;ARHGEF5;ARHGEF6;ARHGEF9;HDAC1;HDAC3;IKBKB;IRAK1;ITGB3BP;KALRN;IKBKG;FADD;FASLG;FGD1;GNA13;VAV3;USP2;XIAP;USP4;VAV1;VAV2;TNF;TNFAIP3;TNFRSF10A;TNFRSF10D;TNFRSF1A;TRADD;TRAF2;TRAF6;TRIO;SPPL2A;SPPL2B;SOS1;SQSTM1;SMPD3;TIAM1;TIAM2;TAX1BP1;NSMAF;OBSCN;PLEKHG2;MCF2L;MAP3K7;LINGO1;OMG;FGD3;PSENEN;NGEF;NGFR","184"
"826","Resolution of Abasic Sites (AP sites)","R-HSA-73933","reactome",NA,NA,NA,1.04522130568798e-05,24,38,1.04522130568798e-05,7.79691643734913e-05,0.0292661965592634,"UNG;XRCC1;SMUG1;RFC4;RPA3;RPA2;PARG;APEX1;PNKP;POLB;POLD1;POLD2;POLD3;POLD4;POLE3;POLE4;MPG;OGG1;LIG1;PARP1;PARP2;NEIL2;MUTYH;NTHL1","141"
"827","Insulin receptor signalling cascade","R-HSA-74751","reactome",NA,NA,NA,9.67556153331776e-06,31,54,9.67556153331776e-06,7.30188405434962e-05,0.0271205989778897,"THEM4;SOS1;TRIB3;AKT2;KLB;PIK3R4;PDPK1;PDE3B;PIK3CB;PIK3R1;PIK3C3;PIK3CA;INSR;IRS1;IRS2;HRAS;GRB2;GRB10;FGF7;FGF8;FGF9;FGFR2;FGF1;FGF16;FGF17;FGF18;FGF20;FGF5;GAB1;FLT3LG;PTPN11;SOS1","139"
"828","Signaling by Insulin receptor","R-HSA-74752","reactome",NA,NA,NA,2.32630535909939e-08,46,78,2.32630535909939e-08,4.03976683327476e-07,7.08359981845766e-05,"AKT2;ATP6AP1;ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;ATP6V0D1;ATP6V0D2;ATP6V1B1;ATP6V1D;ATP6V1E1;ATP6V1E2;ATP6V1G1;ATP6V1G2;ATP6V1G3;SOS1;TRIB3;THEM4;TCIRG1;HRAS;INSR;IRS1;IRS2;GRB2;FLT3LG;GAB1;FGF7;FGF8;FGF9;FGFR2;FGF16;FGF17;FGF18;FGF20;FGF5;FGF1;GRB10;PDPK1;PIK3CB;PIK3R1;PDE3B;PIK3C3;PIK3CA;PIK3R4;KLB;SOS1;PTPN11","139"
"832","Response to elevated platelet cytosolic Ca2+","R-HSA-76005","reactome",NA,NA,NA,4.07535025552506e-08,68,133,4.07535025552506e-08,6.54894593300794e-07,0.000123483112742409,"ABCC4;RAB27B;ORM2;LGALS3BP;LHFPL2;LY6G6F;LEFTY2;PCYOX1L;PDGFA;PCDH7;PF4;PFN1;PHACTR2;TTN;WDR1;VEGFA;SPARC;SPP2;TLN1;TMX3;TIMP1;TIMP3;TEX264;TF;TGFB2;THBS1;SYTL4;STX4;STXBP2;STXBP3;ECM1;F8;FAM3C;GTPBP2;HABP4;HGF;GAS6;FGG;FLNA;FN1;ISLR;ITGB3;IGF1;IGF2;HSPA5;SEPP1;SERPINA1;SERPINF2;QSOX1;PROS1;SCCPDH;SCG3;PPIA;PRKCB;CLEC3B;CDC37L1;CFL1;CHID1;ACTN1;ACTN4;ANXA5;APLP2;APOA1;ALDOA;CD36;CD63;CALM1;CALM1;CYB5R1","148"
"838","Interferon gamma signaling","R-HSA-877300","reactome",NA,NA,NA,1.29671463518942e-05,46,92,1.29671463518942e-05,9.43330691815725e-05,0.036152404029081,"PTPN11;PTPN2;CAMK2A;CAMK2D;CAMK2G;CIITA;TRIM14;TRIM2;TRIM21;TRIM25;TRIM26;TRIM31;TRIM34;TRIM45;TRIM48;TRIM5;TRIM62;TRIM68;TRIM8;STAT1;SP100;SOCS1;IFNG;IFNGR1;IFNGR2;HLA-DPB1;HLA-DQA2;HLA-DRB4;HLA-F;GBP3;GBP4;GBP5;GBP7;FCGR1A;FCGR1B;IRF2;IRF5;JAK2;HLA-B;CAMK2B;NCAM1;OAS1;OAS2;OAS3;OASL;MID1","267"
"845","Clathrin-mediated endocytosis","R-HSA-8856828","reactome",0.0483659671392372,2,17,5.50854501927901e-06,67,145,2.66426107387457e-07,3.38801703488775e-06,0.000793150521692461,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(18:0);CE(18:3(9Z,12Z,15Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));RAB5B;RPS27A;SH3GL1;SH3GL3;SH3KBP1;STAM;STAM2;STON1;STON2;SNX18;SNX9;TOR1B;SYNJ2;SYT11;SYT8;SYT9;TF;VAMP2;VAMP8;WASL;IGF2R;FNBP1;FCHO1;FCHO2;EPN1;EPN2;EPS15;EREG;HIP1;HGS;GRB2;ITSN2;DNAJC6;DNM3;BTC;CTTN;COPS4;COPS5;COPS6;COPS7A;CLTB;CD3D;CD4;ARPC1A;ARPC4;ARRB1;AMPH;AP2M1;AP2S1;ARF6;AP2A1;AP2A2;CHRM2;ADRBK1;ADRBK2;AGTR1;ACTB;ACTR2;PACSIN1;PACSIN2;LRP2;LDLR;LDLRAP1;PIP5K1C;NECAP1;NECAP2;NEDD8;ITSN2","272"
"849","Transcriptional regulation by RUNX2","R-HSA-8878166","reactome",NA,NA,NA,3.93974835044743e-11,69,120,3.93974835044743e-11,2.16764982697908e-09,1.25047612643201e-07,"CDK4;CDKN1A;AKT2;AKT3;CCND1;DLX5;DLX6;BAX;CUL1;SATB2;RUNX2;RPS27A;PPARGC1A;PPARGC1B;SMAD4;RB1;PSMB2;PSMB3;PSMB10;PSMB11;PSMA3;PSMA4;PSMA1;PSMA2;PSMB4;PSMB5;PSMA5;PSMA7;PSMB1;PSMB9;PSMC2;PSMC3;PSMD11;PSMD13;PSMB6;PSMB7;PSMD14;PSMD3;PSMD4;PSMD6;PSMD1;PSMD10;PSMC4;PSMC5;PSMD7;PSMD8;PSMD9;PSME3;PSMF1;TWIST1;SP7;STAT1;SRC;WWP1;WWTR1;STUB1;YAP1;ITGBL1;ESR1;GSK3B;HDAC3;HEY1;HEY2;GLI2;FBXW7;IHH;MMP13;PSMD9;MAF;NR3C1","274,435"
"854","Regulation of PTEN stability and activity","R-HSA-8948751","reactome",NA,NA,NA,2.60565215326033e-08,42,69,2.60565215326033e-08,4.30263326896036e-07,7.91336558945163e-05,"TRIM27;XIAP;USP13;STUB1;RPS27A;PSMB2;PSMB3;PSMB10;PSMB11;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA7;PSMB1;PSMB4;PSMB5;PSMC3;PSMC4;PSMC5;PSMB6;PSMB7;PSMB9;PSMC2;PSMD11;PSMD13;PSMD1;PSMD10;PSMD14;PSMD3;PSMD4;PSMD6;RNF146;PSMD7;PSMD8;PSMD9;PSME3;PSMF1;AKT2;AKT3;CSNK2B;PSMD9","170,233"
"862","Plasma lipoprotein clearance","R-HSA-8964043","reactome",0.0142463291430427,2,9,0.000132479309136043,20,33,1.88734384259497e-06,1.75680709267486e-05,0.0054430996420439,"TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));CE(18:0);CE(18:3(9Z,12Z,15Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));SOAT1;SOAT2;VLDLR;HDLBP;CUBN;AMN;AP2M1;AP2S1;APOA1;AP2A1;AP2A2;APOC1;APOC4;APOE;NR1H2;LSR;LDLR;LDLRAP1;NPC2;NR1H2;SCARB1","280"
"864","RHOA GTPase cycle","R-HSA-8980692","reactome",NA,NA,NA,1.63661591899679e-06,70,149,1.63661591899679e-06,1.57799087115213e-05,0.00473963970141471,"FLOT2;FMNL3;HMHA1;JUP;KALRN;FAF2;FAM13A;VAPB;VAV1;VAV2;VAV3;TEX2;TIAM1;TJP2;STK10;TRIO;PREX1;RHOA;RHPN2;RGNEF;RASGRF2;RTKN;SCFD1;MYO9B;NGEF;PIK3R1;PCDH7;OBSCN;LBR;KTN1;PLD1;PLEKHG3;PLEKHG4;PLEKHG6;MCF2L;OPHN1;DAAM1;C1QBP;ATP6AP1;BCAP31;BCR;CIT;DIAPH3;DLC1;DOCK2;DAAM1;CCDC115;ABR;ACBD5;ACTC1;AKAP13;ANLN;ARAP2;ARAP3;ARHGAP1;ARHGAP10;ARHGAP20;ARHGAP21;ARHGAP23;ARHGAP24;ARHGAP26;ARHGAP30;ARHGAP8;ARHGDIA;ARHGDIB;ARHGEF1;ARHGEF10;ARHGEF10L;ARHGEF19;ARHGEF4;ARHGEF5","Unclustered"
"885","Peroxisomal protein import","R-HSA-9033241","reactome",NA,NA,NA,2.19154935954977e-06,36,63,2.19154935954977e-06,2.01099557708686e-05,0.00631166215550333,"CROT;ACOT4;ACOT8;ACOX3;ACAA1;AGPS;AGXT;BAAT;DAO;DHRS4;DDO;SLC27A2;RPS27A;HACL1;GSTK1;GNPAT;HSD17B4;IDH1;HMGCL;ECH1;ZFAND6;TYSND1;UBE2D2;UBE2D3;USP9X;NUDT7;NOS2;PIPOX;LONP2;PEX10;PEX12;PEX13;PEX14;PEX26;PEX5;MPV17;BAAT","290"
"892","Ion transport by P-type ATPases","R-HSA-936837","reactome",NA,NA,NA,1.60920824715486e-05,31,55,1.60920824715486e-05,0.000113736162763899,0.0446394367760757,"SLN;SRI;FXYD4;PLN;CAMK2B;ATP2A1;ATP10A;ATP10A;ATP10B;ATP11C;ATP13A1;ATP13A2;ATP1A1;ATP1A2;ATP1A3;ATP1B1;ATP1B2;ATP2A1;ATP7A;ATP8A1;ATP8B2;ATP8B4;ATP9B;ATP2A2;ATP2A3;ATP2B2;ATP2B3;ATP2C1;CAMK2A;CAMK2D;CAMK2G;CALM1;CALM1;CUTC","Unclustered"
"893","TRIF(TICAM1)-mediated TLR4 signaling","R-HSA-937061","reactome",NA,NA,NA,2.38422935071439e-08,54,97,2.38422935071439e-08,4.09630893766356e-07,7.25759414357462e-05,"PPP2CB;PPP2R1B;PPP2CA;SARM1;RPS6KA2;RPS27A;S100A12;SAA1;PTPN11;RELA;RIPK1;RIPK2;MAP2K4;MAP2K6;ATF2;MEF2C;NKIRAS1;NKIRAS2;NOD2;MEF2A;MAP3K7;MAP3K8;MAPK10;MAPK14;MAPK7;MAPK9;MAPKAPK2;NFKB2;CUL1;ATF2;BTRC;BIRC2;BIRC3;DUSP4;CHUK;HMGB1;IKBKB;IKBKE;FADD;ELK1;IRAK1;IRAK2;IKBKG;FOS;FBXW11;VRK3;UBE2D2;UBE2D3;UBE2N;TRAF3;TRAF6;TICAM2;TBK1;TICAM1;TANK","163"
"899","Diseases of programmed cell death","R-HSA-9645723","reactome",NA,NA,NA,1.30265836236091e-09,45,71,1.30265836236091e-09,3.7235278853325e-08,4.06168877384131e-06,"TRADD;TRAF2;TP53;EED;EZH2;FADD;GOLGA2;FASLG;HIST1H4A;HIST3H2BB;HIST2H2AC;HIST2H2BE;HIST2H3C;HIST1H2BO;HIST1H3A;HIST1H3A;HIST1H2BE;HIST1H2BH;HIST1H2BE;HIST1H3A;HIST1H3A;HIST1H3A;HIST1H3A;HIST1H4A;HIST1H4A;HIST1H4A;HIST1H2AD;HIST1H2BB;HIST1H2BE;HIST1H2BE;HIST1H2BJ;HIST1H2BK;HIST1H2BM;HIST1H2AB; HIST1H2AE;H2AFB1;H2AFJ;H2AFX;POLA1;POLA2;LMNA;LMNB1;RIPK1;RBBP4;PRDX1;PRDX2;PRIM1;CDKN2A;CDK5R1;CDC25A;CDC25C;CAST;CAPNS1;CAPNS2;DNMT3A;BCL2L11;C1QBP","294,343"
"911","Cytoprotection by HMOX1","R-HSA-9707564","reactome",NA,NA,NA,1.16228958078323e-07,63,123,1.16228958078323e-07,1.6043569854401e-06,0.000348338187360735,"PSMD9;NCOA2;NCOA6;NCOR2;NLRP3;MED1;HM13;HDAC3;CUL1;CSNK2B;COX5B;COX6A1;COX6C;CREBBP;COX11;COX16;COX4I1;BLVRA;ABCC1;TXNIP;SMARCD3;STAT3;TGS1;TBL1XR1;TACO1;PSMB4;PSMB5;PSMA1;PSMA2;PSMB2;PSMB3;PSMA5;PSMA7;PSMB1;PSMB10;PSMB11;PSMA3;PSMA4;OR9G4; PTK6;PSMF1;PSMD7;PSMD8;PSMD9;PSME3;RPS27A;SCO1;SCO2;PSMD11;PSMD13;PSMD1;PSMD10;PSMB9;PSMC2;PSMD14;PSMD3;PSMC3;PSMC4;PSMC5;PSMD4;PSMD6;PSMB6;PSMB7;SIN3A;SIN3B","298"
"928","Reproduction","R-HSA-1474165","reactome",NA,NA,NA,4.73429455313528e-10,64,113,4.73429455313528e-10,1.57647127903371e-08,1.4837279129526e-06,"H2AFX;HIST1H2AB; HIST1H2AE;HIST1H2AD;H2AFB1;H2AFJ;HIST3H2BB;HSPA2;HVCN1;HIST1H2BE;HIST1H2BH;HIST1H2BE;HIST1H2BJ;HIST1H2BK;HIST1H2BM;HIST1H2BB;HIST1H2BE;HIST1H2BE;HIST1H2BO;HIST1H3A;HIST1H3A;HIST1H3A;HIST1H4A;HIST1H4A;HIST2H2AC;HIST2H2BE;HIST2H3C;HIST1H4A;HIST1H3A;HIST1H3A;HIST1H3A;HIST1H4A;KCNU1;IZUMO1;OVGP1;MLH1;MLH3;MRE11A;NBN;MSH4;LMNA;LMNB1;RPA2;REC8;RPA3;POT1;RAD21;RAD50;TERF2;SYCE1;SYCP1;SYCP3;SYNE2;TINF2;ZP1;ZP2;ZP3;SPO11;SMC1A;SMC1B;SMC3;STAG2;UBE2I;ADAM2;ADAM21;ADAM30;B4GALT1;BLM;BRCA2;ATR;ATM;CDK2;CDK4;CATSPER1;CATSPER2;CATSPER3","303,325"
"959","Cellular response to hypoxia","R-HSA-1234174","reactome",NA,NA,NA,4.02817521242424e-09,46,75,4.02817521242424e-09,8.85102444634714e-08,1.24269205303288e-05,"PSMA7;PSMB1;PSMB5;PSMB6;PSMA1;PSMA2;PSMA3;PSMB3;PSMB4;PSMB10;PSMB11;PSMB2;PSMA4;PSMA5;RPS27A;PSME3;PSMF1;PSMD8;PSMD9;PSMD3;PSMD4;PSMD6;PSMD7;PSMD11;PSMD13;PSMD14;PSMB7;PSMB9;PSMC4;PSMC5;PSMD1;PSMD10;PSMC2;PSMC3;VEGFA;VHL;UBE2D2;UBE2D3;WTIP;CITED2;CUL2;CREBBP;HIF3A;HIGD1A;EGLN2; OR2T12;LIMD1;PSMD9","170,319,320"
"960","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha","R-HSA-1234176","reactome",NA,NA,NA,3.85656503750823e-09,42,66,3.85656503750823e-09,8.65048963274415e-08,1.19052162707879e-05,"CUL2;LIMD1;PSMD9;RPS27A;PSMD8;PSMD9;PSME3;PSMF1;PSMC2;PSMC3;PSMB7;PSMB9;PSMD1;PSMD10;PSMD11;PSMD13;PSMD14;PSMC4;PSMC5;PSMD3;PSMD4;PSMD6;PSMD7;PSMA1;PSMB3;PSMB4;PSMB10;PSMB11;PSMB2;PSMA7;PSMB1;PSMA4;PSMA5;PSMA2;PSMA3;PSMB5;PSMB6;WTIP;VHL;UBE2D2;UBE2D3;HIF3A;EGLN2; OR2T12","170,319,320"
"970","Olfactory Signaling Pathway","R-HSA-381753","reactome",NA,NA,NA,3.06942140549628e-08,41,67,3.06942140549628e-08,5.00718744431969e-07,9.30955512287023e-05,"ADCY3;CNGA2;CNGA4;CNGB1;OR10G3;OR10G4;OR10G7;OR10J5;OR11H4;OR11H6; OR51J1;OR13C3;OR14J1;OR1A1;OR1C1;OR1D5;OR1D5;OR1E1;OR1N2;OR5D14;OR5K1;OR2B11;OR2J2;OR2J3;OR2M2;OR2M7;OR2W1;OR3A1;OR4C12;OR4D2;OR4F17;OR4L1;OR4Q3;OR51D1;OR51E1;OR51E2;OR7D4;OR7G2;OR8D1;OR8K3;OR9G1;OR8D1;GNAL;GNG13","Unclustered"
"971","Meiosis","R-HSA-1500620","reactome",NA,NA,NA,1.90409346097714e-08,50,87,1.90409346097714e-08,3.37924279063526e-07,5.80748505598029e-05,"ATM;BRCA2;ATR;BLM;CDK2;CDK4;RPA2;REC8;RPA3;RAD21;RAD50;POT1;SMC1A;SMC1B;SMC3;SPO11;STAG2;UBE2I;TERF2;TINF2;SYCE1;SYCP1;SYCP3;SYNE2;H2AFX;H2AFB1;H2AFJ;HIST1H2AB; HIST1H2AE;HIST1H2AD;HIST3H2BB;HSPA2;HIST1H4A;HIST1H4A;HIST2H2AC;HIST1H2BB;HIST1H2BE;HIST1H2BE;HIST1H2BO;HIST1H3A;HIST1H3A;HIST1H3A;HIST2H2BE;HIST2H3C;HIST1H4A;HIST1H2BJ;HIST1H2BK;HIST1H2BM;HIST1H2BE;HIST1H2BH;HIST1H2BE;HIST1H3A;HIST1H3A;HIST1H3A;HIST1H4A;MLH1;MLH3;MRE11A;NBN;MSH4;LMNA;LMNB1","303,325,341"
"972","snRNP Assembly","R-HSA-191859","reactome",NA,NA,NA,3.79996911921917e-07,33,53,3.79996911921917e-07,4.54588898336219e-06,0.00112593085002464,"CLNS1A;GEMIN4;GEMIN7;GEMIN8;TGS1;TPR;SNRPB;SNRPD1;SNRPF;SNRPG;SNUPN;SMN1;RAE1;RANBP2;SEH1L;SEC13;POM121;POM121C;NCBP2;PHAX;NUP155;NUP160;NUP43;NUP50;NUP54;NUP88;NUP98;NUPL2;NUP188;NUP205;NUP210;NUP35;NUP37","326"
"973","Metabolism of non-coding RNA","R-HSA-194441","reactome",NA,NA,NA,3.79996911921917e-07,33,53,3.79996911921917e-07,4.54588898336219e-06,0.00112593085002464,"NUP155;NUP160;NUP98;NUPL2;NUP43;NUP50;NUP54;NUP88;NUP188;NUP205;NUP210;NUP35;NUP37;PHAX;NCBP2;CLNS1A;RAE1;RANBP2;SEH1L;SEC13;POM121;POM121C;SMN1;SNRPB;SNRPD1;SNRPF;SNRPG;SNUPN;TPR;TGS1;GEMIN4;GEMIN7;GEMIN8","326"
"976","Gene Silencing by RNA","R-HSA-211000","reactome",NA,NA,NA,2.4571302436175e-10,62,107,2.4571302436175e-10,8.91745020998262e-09,7.72030322544619e-07,"H2AFB1;H2AFJ;HIST1H2AB; HIST1H2AE;HIST1H2AD;H2AFX;IPO8;HIST1H2BJ;HIST1H2BK;HIST1H2BM;HIST1H2BO;HIST1H3A;HIST1H3A;HIST1H3A;HIST1H4A;HIST1H4A;HIST2H2AC;HIST1H2BB;HIST1H2BE;HIST1H2BE;HIST1H2BE;HIST1H2BH;HIST1H2BE;HIST1H3A;HIST1H3A;HIST1H3A;HIST1H4A;HIST2H2BE;HIST2H3C;HIST1H4A;HIST3H2BB;HSP90AA1;MOV10L1;POLR2I;POLR2J;POLR2K;POLR2L;POLR2B;POLR2F;POLR2G;POLR2H;PIWIL4;POLR2A;PLD6;NUP188;NUP205;NUP210;NUP35;NUP155;NUP160;NUP37;NUP43;NUP50;NUP54;NUP88;NUP98;NUPL2;POLR2H;MYBL1;POM121;POM121C;SEC13;SEH1L;RAE1;RAN;RANBP2;PRKRA;TDRD12;TDRD6;TDRD9;TNRC6C;TPR;XPO5;ANG;BCDIN3D","327"
"978","Oxidative Stress Induced Senescence","R-HSA-2559580","reactome",NA,NA,NA,1.82256199997355e-09,54,92,1.82256199997355e-09,4.8253075900939e-08,5.66816781991773e-06,"MAPK10;MAPK14;MOV10;MDM2;MDM4;MINK1;MAPK9;MAPKAPK2;MAPKAPK5;PHC1;PHC2;PHC3;MAP2K4;MAP2K6;FOS;H2AFB1;H2AFJ;H2AFX;HIST1H2AB; HIST1H2AE;HIST1H2AD;E2F3;EED;E2F1;EZH2;HIST1H4A;HIST1H4A;HIST1H2BJ;HIST1H2BK;HIST1H2BM;HIST1H2BE;HIST1H2BH;HIST1H2BE;HIST1H2BO;HIST1H3A;HIST1H3A;HIST1H3A;HIST2H2AC;HIST2H2BE;HIST2H3C;HIST1H4A;HIST1H3A;HIST1H3A;HIST1H3A;HIST1H4A;HIST1H2BB;HIST1H2BE;HIST1H2BE;HIST3H2BB;TNIK;TNRC6C;TXN;TP53;BMI1;CBX2;CBX4;CBX6;CDKN2A;CDKN2B;CDKN2C;CDKN2D;CDK4;RBBP4;RNF2;RPS27A;SCMH1","329"
"979","Senescence-Associated Secretory Phenotype (SASP)","R-HSA-2559582","reactome",NA,NA,NA,2.2168112851449e-06,43,80,2.2168112851449e-06,2.02268374322543e-05,0.00637998287864702,"CDK2;CDK4;CDC26;CDKN2B;CDKN2C;CDKN2D;CDKN1A;CDKN1B;CDKN2A;ANAPC2;ANAPC4;ANAPC7;ANAPC10;ANAPC11;CCNA1;UBE2C;UBE2E1;VENTX;STAT3;RPS27A;RPS6KA2;RELA;MAPK7;H2AFX;HIST1H2AB; HIST1H2AE;HIST1H2AD;H2AFB1;H2AFJ;FOS;HIST1H2BO;HIST1H3A;HIST1H3A;HIST1H3A;HIST1H3A;HIST1H3A;HIST1H3A;HIST1H4A;HIST2H2AC;HIST2H2BE;HIST2H3C;HIST1H4A;HIST1H2BE;HIST1H2BH;HIST1H2BE;HIST1H4A;HIST1H4A;HIST1H2BB;HIST1H2BE;HIST1H2BE;HIST1H2BJ;HIST1H2BK;HIST1H2BM;HIST3H2BB;IL1A","330"
"983","ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression","R-HSA-427389","reactome",NA,NA,NA,1.53851369137501e-06,28,44,1.53851369137501e-06,1.49680699492207e-05,0.00446015119129615,"CBX3;CHD3;MBD3;MTA1;MTA2;MTA3;RBBP4;GATAD2A;GATAD2B;HIST3H2BB;H2AFB1;H2AFJ;H2AFX;HDAC1;HIST1H2AB; HIST1H2AE;HIST1H2AD;HIST2H2AC;HIST2H2BE;HIST2H3C;HIST1H4A;HIST1H4A;HIST1H4A;HIST1H3A;HIST1H3A;HIST1H3A;HIST1H4A;HIST1H2BE;HIST1H2BH;HIST1H2BE;HIST1H2BB;HIST1H2BE;HIST1H2BE;HIST1H2BJ;HIST1H2BK;HIST1H2BM;HIST1H2BO;HIST1H3A;HIST1H3A;HIST1H3A","332"
"984","Positive epigenetic regulation of rRNA expression","R-HSA-5250913","reactome",NA,NA,NA,8.70072069951917e-09,45,74,8.70072069951917e-09,1.6828340035597e-07,2.66590082233268e-05,"ZNRD1;TAF1B;TAF1D;SMARCA5;TWISTNB;RBBP4;SF3B1;CHD3;DDX21;CBX3;ACTB;MBD3;MTA1;MTA2;MTA3;POLR1B;POLR1C;POLR1E;POLR2K;POLR2L;POLR2F;POLR2H;POLR2H;HIST3H2BB;H2AFX;HDAC1;H2AFB1;H2AFJ;GSK3B;HIST1H2AB; HIST1H2AE;HIST1H2AD;KAT2A;GATAD2A;GATAD2B;HIST1H3A;HIST1H3A;HIST1H3A;HIST2H2AC;HIST2H2BE;HIST2H3C;HIST1H4A;HIST1H2BB;HIST1H2BE;HIST1H2BE;HIST1H2BE;HIST1H2BH;HIST1H2BE;HIST1H2BO;HIST1H3A;HIST1H3A;HIST1H3A;HIST1H2BJ;HIST1H2BK;HIST1H2BM;HIST1H4A;HIST1H4A;HIST1H4A","122,333,625"
"992","mRNA Capping","R-HSA-72086","reactome",NA,NA,NA,1.36229767237574e-06,21,29,1.36229767237574e-06,1.33340044902232e-05,0.0039533878452344,"RNMT;POLR2L;CDK7;CCNH;NCBP2;POLR2H;POLR2A;POLR2I;POLR2J;POLR2K;POLR2B;POLR2F;POLR2G;POLR2H;GTF2F2;GTF2H1;GTF2H2;GTF2H3;GTF2H4;GTF2H5;ERCC3;ERCC2","337,529"
"995","RUNX1 regulates transcription of genes involved in differentiation of HSCs","R-HSA-8939236","reactome",NA,NA,NA,2.61538686866779e-13,63,98,2.61538686866779e-13,5.27981224112309e-11,8.40846878276693e-10,"HIST2H2AC;HIST2H2BE;HIST2H3C;HIST1H2BE;HIST1H2BH;HIST1H2BE;HIST1H3A;HIST1H3A;HIST1H3A;HIST1H3A;HIST1H2BB;HIST1H2BE;HIST1H2BE;HIST1H2BJ;HIST1H2BK;HIST1H2BM;HIST1H4A;HIST1H4A;HIST1H4A;HIST1H2BO;HIST1H3A;HIST1H3A;H2AFX;HIST1H2AB; HIST1H2AE;HIST1H2AD;H2AFB1;H2AFJ;ITCH;HIST1H4A;HIST3H2BB;GATA2;GATA3;PSMD9;MYB;LMO1;PSMA1;PSMA2;PSMB10;PSMB11;PSMB2;PSMB3;PSMB4;PSMB5;PSMA3;PSMA4;PSMA5;PSMA7;PSMB1;RPS27A;PSMD7;PSMD8;PSMF1;PSMD9;PSME3;PSMB9;PSMC2;PSMC3;PSMD11;PSMD13;PSMB6;PSMB7;PSMD14;PSMD3;PSMD4;PSMD6;PSMD1;PSMD10;PSMC4;PSMC5;YAP1;TCF12;TCF3;TAL1;CCNH;CDK7","340,578"
