"Pathway, Gene Set, or Metabolite Class",Matching Analyte/Pathway
cholesterol efflux,Bile Constituents; Sterols
intestinal cholesterol absorption,Bile Constituents; Sterols
regulation of intestinal cholesterol absorption,Bile Constituents; Sterols
cholesterol storage,Bile Constituents; Sterols
regulation of cholesterol storage,Bile Constituents; Sterols
positive regulation of cholesterol metabolic process,Bile Constituents; Sterols
negative regulation of cholesterol storage,Bile Constituents; Sterols
cholesterol catabolic process,Bile Constituents; Sterols
reverse cholesterol transport,Bile Constituents; Sterols
regulation of cholesterol biosynthetic process,Bile Constituents; Sterols
positive regulation of cholesterol biosynthetic process,Bile Constituents; Sterols
positive regulation of phospholipid biosynthetic process,Bile Constituents; Sterols
negative regulation of cholesterol transport,Bile Constituents; Sterols
negative regulation of cholesterol efflux,Bile Constituents; Sterols
Cholesterol biosynthesis,Bile Constituents; Sterols
Statin inhibition of cholesterol production,Bile Constituents; Sterols
Cholesterol metabolism,Bile Constituents; Sterols
Regulation of cholesterol biosynthesis by SREBP (SREBF),Bile Constituents; Sterols
Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,Bile Constituents; Sterols
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,Bile Constituents; Sterols
NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake,Bile Constituents; Sterols
Cholesterol biosynthesis pathway,Bile Constituents; Sterols
SREBF and miR33 in cholesterol and lipid homeostasis,Bile Constituents; Sterols
Oxysterols derived from cholesterol,Bile Constituents; Sterols
Cholesterol biosynthesis with skeletal dysplasias,Bile Constituents; Sterols
Cholesterol synthesis disorders,Bile Constituents; Sterols
Mevalonate arm of cholesterol biosynthesis pathway with inhibitors,Bile Constituents; Sterols
Mevalonate arm of cholesterol biosynthesis pathway,Bile Constituents; Sterols
carnitine metabolic process,carnitine
Carnitine synthesis,carnitine
Carnitine metabolism,carnitine
meiosis II cell cycle process,cell cycle
positive regulation of mitotic cell cycle phase transition,cell cycle
positive regulation of cell cycle phase transition,cell cycle
positive regulation of G2/M transition of mitotic cell cycle,cell cycle
positive regulation of mitotic cell cycle,cell cycle
positive regulation of cell cycle G2/M phase transition,cell cycle
G2/M transition of mitotic cell cycle,cell cycle
mitotic cell cycle phase transition,cell cycle
regulation of G1/S transition of mitotic cell cycle,cell cycle
regulation of cell cycle G2/M phase transition,cell cycle
regulation of mitotic cell cycle phase transition,cell cycle
cell cycle G1/S phase transition,cell cycle
cell cycle G2/M phase transition,cell cycle
G1/S transition of mitotic cell cycle,cell cycle
negative regulation of G1/S transition of mitotic cell cycle,cell cycle
regulation of cell cycle G1/S phase transition,cell cycle
positive regulation of cell cycle process,cell cycle
metaphase/anaphase transition of mitotic cell cycle,cell cycle
regulation of metaphase/anaphase transition of cell cycle,cell cycle
positive regulation of G1/S transition of mitotic cell cycle,cell cycle
metaphase/anaphase transition of cell cycle,cell cycle
negative regulation of cell cycle G1/S phase transition,cell cycle
negative regulation of mitotic cell cycle phase transition,cell cycle
negative regulation of G2/M transition of mitotic cell cycle,cell cycle
negative regulation of cell cycle G2/M phase transition,cell cycle
positive regulation of cell cycle G1/S phase transition,cell cycle
regulation of cell cycle phase transition,cell cycle
chromosome organization involved in meiotic cell cycle,cell cycle
negative regulation of cell cycle phase transition,cell cycle
cell cycle checkpoint signaling,cell cycle
mitotic cell cycle checkpoint signaling,cell cycle
negative regulation of mitotic cell cycle,cell cycle
cell cycle DNA replication,cell cycle
negative regulation of cell cycle,cell cycle
positive regulation of cell cycle,cell cycle
negative regulation of cell cycle process,cell cycle
regulation of meiotic cell cycle,cell cycle
meiotic cell cycle process,cell cycle
meiotic cell cycle,cell cycle
meiosis I cell cycle process,cell cycle
regulation of mitotic cell cycle spindle assembly checkpoint,cell cycle
regulation of cell cycle checkpoint,cell cycle
negative regulation of metaphase/anaphase transition of cell cycle,cell cycle
positive regulation of meiotic cell cycle,cell cycle
meiotic cell cycle phase transition,cell cycle
positive regulation of mitotic cell cycle spindle assembly checkpoint,cell cycle
negative regulation of meiotic cell cycle,cell cycle
positive regulation of cell cycle checkpoint,cell cycle
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",cell cycle
positive regulation of metaphase/anaphase transition of cell cycle,cell cycle
regulation of nuclear cell cycle DNA replication,cell cycle
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,cell cycle
Diseases of mitotic cell cycle,cell cycle
Aberrant regulation of mitotic cell cycle due to RB1 defects,cell cycle
G1 to S cell cycle control,cell cycle
Cell cycle,cell cycle
Cell Cycle,cell cycle
"Cell Cycle, Mitotic",cell cycle
PTK6 Regulates Cell Cycle,cell cycle
p75NTR negatively regulates cell cycle via SC1,cell cycle
mir-124 predicted interactions with cell cycle and differentiation,cell cycle
regulation of transcription involved in G1/S transition of mitotic cell cycle,cell cycle; transcirptional pathways
TP53 Regulates Transcription of Cell Cycle Genes,cell cycle; transcirptional pathways
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,cell cycle; transcirptional pathways
TP53 regulates transcription of cell cycle genes,cell cycle; transcirptional pathways
FOXO-mediated transcription of cell cycle genes,cell cycle; transcirptional pathways
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,cell cycle; transcirptional pathways
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,cell cycle; transcirptional pathways
TFAP2 (AP-2) family regulates transcription of cell cycle factors,cell cycle; transcirptional pathways
response to hypoxia,cellular response to hypoxia
regulation of cellular response to hypoxia,cellular response to hypoxia
cellular response to hypoxia,cellular response to hypoxia
Cellular response to hypoxia,cellular response to hypoxia
Regulation of gene expression by Hypoxia-inducible Factor,cellular response to hypoxia
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,cellular response to hypoxia; proline
regulation of transcription from RNA polymerase II promoter in response to hypoxia,cellular response to hypoxia; transcirptional pathways
ceramide metabolic process,ceramide
ceramide catabolic process,ceramide
regulation of ceramide biosynthetic process,ceramide
ceramide biosynthetic process,ceramide
ceramide transport,ceramide
Ceramide signalling,ceramide
TNFR1-mediated ceramide production,ceramide
Synthesis of ceramides and 1-deoxyceramides,ceramide
Roles of ceramides in development of insulin resistance,ceramide; insulin pathway
"BMAL1:CLOCK,NPAS2 activates circadian gene expression",CLOCK
cortisol metabolic process,cortisol
cortisol biosynthetic process,cortisol
LTC4-CYSLTR mediated IL4 production; LTC4S,CYSLTR2; IL-4; IL4R
Cytokine Signaling in Immune system,Cytokine signaling in immune system
regulation of cytokine production involved in immune response,Cytokine signaling in immune system; immune response
cytokine production involved in immune response,Cytokine signaling in immune system; immune response
positive regulation of cytokine production involved in immune response,Cytokine signaling in immune system; immune response
positive regulation of myeloid leukocyte cytokine production involved in immune response,Cytokine signaling in immune system; immune response
negative regulation of cytokine production involved in immune response,Cytokine signaling in immune system; immune response
positive regulation of cytokine production involved in inflammatory response,Cytokines and inflammatory response; inflammatory response
cytokine production involved in inflammatory response,Cytokines and inflammatory response; inflammatory response
regulation of cytokine production involved in inflammatory response,Cytokines and inflammatory response; inflammatory response
negative regulation of cytokine production involved in inflammatory response,Cytokines and inflammatory response; inflammatory response
Cytokines and inflammatory response,Cytokines and inflammatory response; inflammatory response
cellular defense response,Defense response
defense response to tumor cell,Defense response
positive regulation of defense response to bacterium,Defense response
regulation of defense response to bacterium,Defense response
positive regulation of defense response,Defense response
defense response to fungus,Defense response
negative regulation of defense response,Defense response
defense response to Gram-negative bacterium,Defense response
defense response to bacterium,Defense response
behavioral defense response,Defense response
defense response to Gram-positive bacterium,Defense response
defense response to virus,Defense response
defense response to symbiont,Defense response
defense response to protozoan,Defense response
respiratory burst involved in defense response,Defense response
negative regulation of defense response to virus,Defense response
regulation of defense response to virus,Defense response
positive regulation of defense response to virus by host,Defense response
regulation of defense response to virus by host,Defense response
diacylglycerol metabolic process,diacylglycerol
CDP-diacylglycerol metabolic process,diacylglycerol
CDP-diacylglycerol biosynthetic process,diacylglycerol
Signaling by EGFR,EGF/EGFR signaling pathway
Signaling by EGFR in Cancer,EGF/EGFR signaling pathway
EGFR downregulation,EGF/EGFR signaling pathway
EGFR Transactivation by Gastrin,EGF/EGFR signaling pathway
SHC1 events in EGFR signaling,EGF/EGFR signaling pathway
EGFR interacts with phospholipase C-gamma,EGF/EGFR signaling pathway
GRB2 events in EGFR signaling,EGF/EGFR signaling pathway
"Relationship between inflammation, COX-2 and EGFR",EGF/EGFR signaling pathway
EPHB-mediated forward signaling,EPHB6
response to ethanol,Ethanol
ethanol metabolic process,Ethanol
cellular response to ethanol,Ethanol
ethanol catabolic process,Ethanol
Ethanol effects on histone modifications,Ethanol
Ethanol oxidation,Ethanol
Ethanol metabolism production of ROS by CYP2E1,Ethanol
Fatty Acyls,fatty acids
cellular response to fatty acid,fatty acids
response to fatty acid,fatty acids
regulation of fatty acid transport,fatty acids
long-chain fatty acid import across plasma membrane,fatty acids
short-chain fatty acid metabolic process,fatty acids
unsaturated fatty acid biosynthetic process,fatty acids
long-chain fatty acid import into cell,fatty acids
fatty acid transmembrane transport,fatty acids
positive regulation of fatty acid biosynthetic process,fatty acids
long-chain fatty acid metabolic process,fatty acids
positive regulation of fatty acid transport,fatty acids
unsaturated fatty acid metabolic process,fatty acids
fatty acid biosynthetic process,fatty acids
very long-chain fatty acid metabolic process,fatty acids
positive regulation of fatty acid metabolic process,fatty acids
fatty acid catabolic process,fatty acids
fatty acid transport,fatty acids
regulation of fatty acid biosynthetic process,fatty acids
fatty acid oxidation,fatty acids
fatty acid metabolic process,fatty acids
long-chain fatty acid transport,fatty acids
fatty acid beta-oxidation,fatty acids
regulation of fatty acid metabolic process,fatty acids
fatty acid derivative metabolic process,fatty acids
fatty acid derivative catabolic process,fatty acids
fatty acid derivative biosynthetic process,fatty acids
long-chain fatty acid biosynthetic process,fatty acids
regulation of fatty acid oxidation,fatty acids
fatty acid beta-oxidation using acyl-CoA dehydrogenase,fatty acids
negative regulation of fatty acid oxidation,fatty acids
positive regulation of fatty acid oxidation,fatty acids
negative regulation of fatty acid biosynthetic process,fatty acids
negative regulation of fatty acid metabolic process,fatty acids
regulation of fatty acid beta-oxidation,fatty acids
positive regulation of fatty acid beta-oxidation,fatty acids
fatty acid elongation,fatty acids
very long-chain fatty acid biosynthetic process,fatty acids
fatty acid beta-oxidation using acyl-CoA oxidase,fatty acids
medium-chain fatty acid metabolic process,fatty acids
fatty acid homeostasis,fatty acids
regulation of unsaturated fatty acid biosynthetic process,fatty acids
Free fatty acid receptors,fatty acids
Fatty acid beta-oxidation,fatty acids
Omega-3 / omega-6 fatty acid synthesis,fatty acids
Fatty acid biosynthesis,fatty acids
Omega-9 fatty acid synthesis,fatty acids
Fatty acid Metabolism,fatty acids
Biosynthesis of unsaturated fatty acids,fatty acids
Fatty Acid Elongation In Mitochondria,fatty acids
fatty acid biosynthesis,fatty acids
mitochondrial fatty acid beta-oxidation of saturated fatty acids,fatty acids
mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,fatty acids
Mitochondrial Fatty Acid Beta-Oxidation,fatty acids
Fatty acids,fatty acids
Beta-oxidation of very long chain fatty acids,fatty acids
The fatty acid cycling model,fatty acids
Intracellular metabolism of fatty acids regulates insulin secretion,fatty acids
Transport of fatty acids,fatty acids
Fatty acid omega-oxidation,fatty acids
Fatty acid transporters,fatty acids
Mitochondrial fatty acid beta-oxidation,fatty acids
Mitochondrial long chain fatty acid beta-oxidation,fatty acids
Mitochondrial fatty acid synthesis pathway,fatty acids
Free fatty acids regulate insulin secretion,fatty acids; insulin pathway
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,fatty acids; insulin pathway
Fc epsilon receptor (FCERI) signaling,FCER1A; FCER2
FCERI mediated Ca+2 mobilization,FCER1A; FCER2
FCERI mediated NF-kB activation,FCER1A; FCER2
FCERI mediated MAPK activation,FCER1A; FCER2
Spry regulation of FGF signaling,FGF20; FGF9
FOXP3 in COVID-19,FOXP3
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),FOXP3; lymphocyte proliferation
GAB1 signalosome,GAB1 SIGNALOSOME
regulation of glial cell differentiation,glial cell differentiation
positive regulation of glial cell differentiation,glial cell differentiation
glial cell differentiation,glial cell differentiation
Bergmann glial cell differentiation,glial cell differentiation
telencephalon glial cell migration,glial cell differentiation
radial glial cell differentiation,glial cell differentiation
glial cell-derived neurotrophic factor receptor signaling pathway,glial cell differentiation
Glial cell differentiation,glial cell differentiation
positive regulation of gliogenesis,gliogenesis
regulation of gliogenesis,gliogenesis
gliogenesis,gliogenesis
negative regulation of gliogenesis,gliogenesis
glucocorticoid receptor signaling pathway,Glucocorticoid receptor binding sites
Glucocorticoid receptor pathway,Glucocorticoid receptor binding sites
glutamine metabolic process,Glutamine
Glutamate and glutamine metabolism,Glutamine
Conjugation of phenylacetate with glutamine,Glutamine
Glycerophospholipids,Glycerophospholipid metabolism
glycerophospholipid metabolic process,Glycerophospholipid metabolism; Lipid metabolism
growth hormone receptor signaling pathway,Growth hormone receptor signaling
growth hormone receptor signaling pathway via JAK-STAT,Growth hormone receptor signaling
Growth hormone receptor signaling,Growth hormone receptor signaling
histidine metabolic process,histidine
peptidyl-histidine modification,histidine
Histidine metabolism,histidine
Histidine catabolism,histidine
interleukin-10 production,IL-10
positive regulation of interleukin-10 production,IL-10
negative regulation of interleukin-10 production,IL-10
FCGR3A-mediated IL10 synthesis,IL-10
IL-10 anti-inflammatory signaling pathway,IL-10
interleukin-12 production,IL-12B
positive regulation of interleukin-12 production,IL-12B
positive regulation of interleukin-4 production,IL-4; IL4R; Interleukin-4 and Interleukin-13 signaling
interleukin-4 production,IL-4; IL4R; Interleukin-4 and Interleukin-13 signaling
cellular response to interleukin-4,IL-4; IL4R; Interleukin-4 and Interleukin-13 signaling
response to interleukin-4,IL-4; IL4R; Interleukin-4 and Interleukin-13 signaling
IL-4 signaling pathway,IL-4; Interleukin-4 and Interleukin-13 signaling
interleukin-5 production,"IL-5; Interleukin-3, Interleukin-5 and GM-CSF signaling"
regulation of interleukin-5 production,"IL-5; Interleukin-3, Interleukin-5 and GM-CSF signaling"
positive regulation of interleukin-5 production,"IL-5; Interleukin-3, Interleukin-5 and GM-CSF signaling"
IL-5 signaling pathway,"IL-5; Interleukin-3, Interleukin-5 and GM-CSF signaling"
negative regulation of interleukin-1 beta production,IL11RL1
positive regulation of interleukin-13 production,IL13; Interleukin-4 and Interleukin-13 signaling
interleukin-13 production,IL13; Interleukin-4 and Interleukin-13 signaling
interleukin-17-mediated signaling pathway,IL17RB
response to interleukin-17,IL17RB
positive regulation of interleukin-17 production,IL17RB
interleukin-17 production,IL17RB
negative regulation of interleukin-17 production,IL17RB
IL-17 signaling pathway,IL17RB
cellular response to interleukin-1,IL1RL1
response to interleukin-1,IL1RL1
positive regulation of interleukin-1 production,IL1RL1
interleukin-1 production,IL1RL1
positive regulation of interleukin-1 beta production,IL1RL1
interleukin-1 beta production,IL1RL1
interleukin-1 alpha production,IL1RL1
negative regulation of interleukin-1 production,IL1RL1
interleukin-1-mediated signaling pathway,IL1RL1
regulation of interleukin-1-mediated signaling pathway,IL1RL1
IL1 and megakaryocytes in obesity,IL1RL1
IL6 signaling pathway,IL6R
interleukin-6 production,IL6R; Interleukin-6 signaling
negative regulation of interleukin-6 production,IL6R; Interleukin-6 signaling
positive regulation of interleukin-6 production,IL6R; Interleukin-6 signaling
cellular response to interleukin-6,IL6R; Interleukin-6 signaling
response to interleukin-6,IL6R; Interleukin-6 signaling
interleukin-6-mediated signaling pathway,IL6R; Interleukin-6 signaling
regulation of interleukin-6-mediated signaling pathway,IL6R; Interleukin-6 signaling
Neutrophil extracellular trap formation,immature neutrophils.
regulation of immature T cell proliferation,immature T-lymphocyte-specific transcripts
regulation of immature T cell proliferation in thymus,immature T-lymphocyte-specific transcripts
immature T cell proliferation,immature T-lymphocyte-specific transcripts
immature T cell proliferation in thymus,immature T-lymphocyte-specific transcripts
mucosal immune response,immune response
organ or tissue specific immune response,immune response
myeloid cell activation involved in immune response,immune response
regulation of production of molecular mediator of immune response,immune response
T-helper 1 type immune response,immune response
antimicrobial humoral immune response mediated by antimicrobial peptide,immune response
mast cell activation involved in immune response,immune response
immune response to tumor cell,immune response
regulation of T-helper 1 type immune response,immune response
positive regulation of production of molecular mediator of immune response,immune response
leukocyte activation involved in immune response,immune response
regulation of mast cell activation involved in immune response,immune response
cell activation involved in immune response,immune response
natural killer cell mediated immune response to tumor cell,immune response
negative regulation of mast cell activation involved in immune response,immune response
immune response-inhibiting signal transduction,immune response
production of molecular mediator of immune response,immune response
positive regulation of type 2 immune response,immune response
macrophage activation involved in immune response,immune response
neutrophil activation involved in immune response,immune response
regulation of immune response to tumor cell,immune response
negative regulation of immune response,immune response
lymphocyte activation involved in immune response,immune response
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis,immune response
T cell activation involved in immune response,immune response
mature B cell differentiation involved in immune response,immune response
regulation of type 2 immune response,immune response
B cell activation involved in immune response,immune response
type 2 immune response,immune response
T-helper 17 type immune response,immune response
humoral immune response,immune response
somatic recombination of immunoglobulin genes involved in immune response,immune response
somatic diversification of immunoglobulins involved in immune response,immune response
immune response-regulating cell surface receptor signaling pathway,immune response
"CD4-positive, alpha-beta T cell differentiation involved in immune response",immune response
alpha-beta T cell activation involved in immune response,immune response
alpha-beta T cell differentiation involved in immune response,immune response
immunoglobulin production involved in immunoglobulin-mediated immune response,immune response
T cell differentiation involved in immune response,immune response
immune response-activating cell surface receptor signaling pathway,immune response
immune response-activating signal transduction,immune response
activation of immune response,immune response
immunoglobulin mediated immune response,immune response
positive regulation of immune response to tumor cell,immune response
regulation of T-helper 17 type immune response,immune response
positive regulation of immunoglobulin mediated immune response,immune response
regulation of immunoglobulin mediated immune response,immune response
natural killer cell activation involved in immune response,immune response
T cell mediated immune response to tumor cell,immune response
negative regulation of humoral immune response mediated by circulating immunoglobulin,immune response
regulation of humoral immune response,immune response
positive regulation of mast cell activation involved in immune response,immune response
negative regulation of immunoglobulin mediated immune response,immune response
negative regulation of humoral immune response,immune response
regulation of humoral immune response mediated by circulating immunoglobulin,immune response
humoral immune response mediated by circulating immunoglobulin,immune response
positive regulation of humoral immune response,immune response
negative regulation of production of molecular mediator of immune response,immune response
positive regulation of T-helper 1 type immune response,immune response
negative regulation of T-helper 17 type immune response,immune response
positive regulation of T-helper 17 type immune response,immune response
negative regulation of type 2 immune response,immune response
SARS-CoV-2 innate immunity evasion and cell-specific immune response,immune response
Mitochondrial immune response to SARS-CoV-2,immune response
STING mediated induction of host immune responses,immune response
SUMOylation of immune response proteins,immune response
RUNX3 Regulates Immune Response and Cell Migration,immune response
Immune response to tuberculosis,immune response
miRNA role in immune response in sepsis,immune response; immune response
innate immune response in mucosa,immune response; innate immune system
regulation of innate immune response,immune response; innate immune system
negative regulation of innate immune response,immune response; innate immune system
positive regulation of innate immune response,immune response; innate immune system
innate immune response activating cell surface receptor signaling pathway,immune response; innate immune system
innate immune response-activating signal transduction,immune response; innate immune system
activation of innate immune response,immune response; innate immune system
antifungal innate immune response,immune response; innate immune system
antiviral innate immune response,immune response; innate immune system
SARS-CoV-1 activates/modulates innate immune responses,immune response; innate immune system
Regulation of innate immune responses to cytosolic DNA,immune response; innate immune system
leukocyte migration involved in inflammatory response,inflammatory response
chronic inflammatory response,inflammatory response
positive regulation of inflammatory response,inflammatory response
positive regulation of acute inflammatory response,inflammatory response
regulation of inflammatory response,inflammatory response
regulation of chronic inflammatory response,inflammatory response
acute inflammatory response,inflammatory response
regulation of acute inflammatory response,inflammatory response
inflammatory response to wounding,inflammatory response
negative regulation of neuroinflammatory response,inflammatory response
production of molecular mediator involved in inflammatory response,inflammatory response
acute inflammatory response to antigenic stimulus,inflammatory response
neuroinflammatory response,inflammatory response
inflammatory response to antigenic stimulus,inflammatory response
negative regulation of inflammatory response,inflammatory response
regulation of neuroinflammatory response,inflammatory response
leukocyte activation involved in inflammatory response,inflammatory response
positive regulation of inflammatory response to antigenic stimulus,inflammatory response
regulation of acute inflammatory response to antigenic stimulus,inflammatory response
regulation of inflammatory response to antigenic stimulus,inflammatory response
positive regulation of neuroinflammatory response,inflammatory response
negative regulation of acute inflammatory response,inflammatory response
negative regulation of inflammatory response to antigenic stimulus,inflammatory response
Inflammatory response pathway,inflammatory response
Cell recruitment (pro-inflammatory response),inflammatory response
CD163 mediating an anti-inflammatory response,inflammatory response
Anti-inflammatory response favouring Leishmania parasite infection,inflammatory response
Cells and molecules involved in local acute inflammatory response,inflammatory response
