Ingenuity_Canonical_Pathways,_-log(p-value),Ratio,z-score,Molecules
"PD-1,_PD-L1_cancer_immunotherapy_pathway",5.06E+00,1.50E-01,2.309,"HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,IFNGR1,IFNGR2,IL12A,IL2RB,JAK1,JAK3,LATS2,LCP2,MR1,PIK3CD,TGFB2"
Neuroinflammation_Signaling_Pathway,5.01E+00,9.78E-02,-3.4,"BCL2,BIRC3,CALB2,CREB3L1,GABRB1,GABRR3,GLUL,GRIA1,GRIN3A,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ICAM1,IFNGR1,IFNGR2,IL12A,IRAK2,JAK1,JAK3,JUN,MAPK12,MAPK4,MR1,NFATC2,PIK3CD,PLA2G2A,PPP3R2,TGFB2,TLR2"
PI3K/AKT_Signaling,4.98E+00,1.15E-01,-1.414,"BCL2,IFNLR1,IL12RB1,IL12RB2,IL13RA1,IL13RA2,IL17RA,IL1RL2,IL20RB,IL21R,IL27RA,IL2RB,IL3RA,IL7R,INPP5J,ITGA5,ITGA9,ITGB7,JAK1,JAK3,OCRL,PIK3CD,YWHAH"
Th2_Pathway,4.81E+00,1.31E-01,-3.153,"HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ICAM1,ICOS,IL12A,IL12RB1,IL12RB2,IL2RB,JAK1,JAK3,JUN,NFATC2,PIK3CD,SOCS3,STAT6"
IL-13_Signaling_Pathway,4.61E+00,1.38E-01,-3,"CHI3L1,CXCL6,DEFB124,FOSL2,IL13RA1,IL13RA2,IL17RA,JAK1,JUN,LYN,MAPK12,PIK3CD,PRKCD,SOCS3,STAT6,TGFB2"
Pathogen_Induced_Cytokine_Storm_Signaling_Pathway,4.44E+00,8.89E-02,-4.352,"CCL22,COL10A1,COL12A1,COL7A1,CXCL6,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,IFNGR1,IFNGR2,IL12A,IL12RB1,IL12RB2,IL1RAPL2,IL1RL2,IL21R,IL36B,JAK1,JUN,MAPK12,MAPK4,NLRP6,PROK1,SLC2A3,SLC2A4,SOCS3,TGFB2,TLR2,TNFSF13,XCL1,XCL2"
Role_of_JAK2_in_Hormone-like_Cytokine_Signaling,4.36E+00,1.77E-01,-1,"BCL2,BIRC3,CCND3,CYP3A4,CYP3A43,IRS2,JAK1,PRLR,PROK1,SIRPA,SOCS3"
cAMP-mediated_signaling,4.29E+00,1.02E-01,-2.558,"ADCY9,ADRA2A,CNR1,CREB3L1,DUSP4,ENPP1,FPR1,HRH2,HTR1D,HTR4,HTR6,HTR7,MC3R,NPY1R,PDE1B,PDE6B,PDE6C,PDE9A,PKIA,PPP3R2,PTGER3,PTGER4,RGS4,S1PR3"
IL-10_Signaling,4.13E+00,1.17E-01,1.414,"BCL2,CREB3L1,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ICAM1,IFNGR1,IFNGR2,IL1RAPL2,IL1RL2,IL36B,JAK1,JUN,MAPK12,SOCS3,TAB1"
Macrophage_Alternative_Activation_Signaling_Pathway,3.91E+00,1.06E-01,-2.683,"CCL22,CREB3L1,FPR1,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,IL12A,IL13RA1,IL36B,IRS2,JAK1,JAK3,JUN,MAPK12,PIK3CD,SOCS3,STAT6,TGFB2"
MSP-RON_Signaling_in_Macrophages_Pathway,3.91E+00,1.26E-01,1.069,"CREB3L1,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,IFNGR1,IFNGR2,IL12A,JUN,KLK14,MST1,PIK3CD,SOCS3,ST14"
p38_MAPK_Signaling,3.87E+00,1.25E-01,-1.387,"CREB3L1,DUSP10,HMGN1,IL1RAPL2,IL1RL2,IL36B,IRAK2,MAPK12,MEF2A,MEF2C,PLA2G2A,RPS6KA3,TAB1,TGFB2,TIFA"
FAK_Signaling,3.81E+00,6.53E-02,-6.306,"ADRA1B,ADRA2A,AVPR1A,BDKRB2,C3AR1,CAPN1,CAPN5,CCR9,CNR1,COL10A1,EFNB3,ELK3,ETS2,FFAR4,FPR1,FZD3,FZD7,GALR3,GLP2R,GPR132,GPR149,GPR183,GPR3,GPR52,GPR55,GPR68,GRPR,HCRTR2,HRH1,HRH2,HTR1D,HTR4,HTR6,HTR7,IFNLR1,IL12RB1,IL12RB2,IL13RA1,IL13RA2,IL17RA,IL1RL2,IL20RB,IL21R,IL27RA,IL2RB,IL3RA,IL7R,ITGA5,ITGA9,ITGB7,JUN,MAPK12,MAPK4,MC3R,MTNR1B,NCK2,NPFFR2,NPY1R,NPY5R,PAK1,PIK3CD,PTGER3,PTGER4,RXFP3,S1PR3,SOCS3,TGFB2,VN1R1"
"Role_of_Osteoblasts,_Osteoclasts_and_Chondrocytes_in_Rheumatoid_Arthritis",3.65E+00,9.65E-02,NaN,"BCL2,BGLAP,BIRC3,CSNK1E,DKK1,DKK2,DKK3,FZD3,FZD7,IL1RAPL2,IL1RL2,IL36B,ITGA5,JUN,MAPK12,NFATC2,PIK3CD,PPP3R2,SPP1,TNFRSF11A,WNT2,WNT2B"
Multiple_Sclerosis_Signaling_Pathway,3.40E+00,9.46E-02,-3.273,"CAPN1,CAPN5,CTNNA3,GRIN3A,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,IFNGR1,IFNGR2,IL12A,IL17RA,IL36B,IL7R,MAPK12,NFATC2,SLC8B1,TGFB2,TLR2,TNFSF13"
iNOS_Signaling,3.19E+00,1.70E-01,-1.414,"IFNGR1,IFNGR2,IRAK2,JAK1,JAK3,JUN,MAPK12,TAB1"
Hepatic_Fibrosis_Signaling_Pathway,3.06E+00,7.57E-02,-4.491,"BCL2,CACNA2D4,CACNB2,CNR1,COL10A1,CREB3L1,CSNK1E,FZD3,FZD7,ICAM1,IL17RA,IL1RAPL2,IL1RL2,IL36B,IRAK2,IRS2,ITGA5,ITGA9,ITGB7,JAK1,JUN,MAPK12,PDGFB,PIK3CD,PRKCD,PROK1,RHOBTB2,SERPINE1,SPP1,TGFB2,WNT2,WNT2B"
Calcium_Signaling,3.05E+00,9.09E-02,-3.317,"ATP2B1,ATP2B3,CACNA2D4,CACNB2,CATSPER3,CREB3L1,GRIA1,GRIN3A,HDAC10,ITPR1,MEF2A,MEF2C,MYH3,NFATC2,PPP3R2,RCAN3,SLC8B1,TPM3,TRPC5,TRPC7"
Amyotrophic_Lateral_Sclerosis_Signaling,2.97E+00,1.12E-01,-1.897,"BCL2,BIRC3,CACNA2D4,CACNB2,CAPN1,CAPN5,CCS,GLUL,GRIA1,GRIN3A,PAK1,PIK3CD,PROK1"
Tryptophan_Degradation_to_2-amino-3-carboxymuconate_Semialdehyde,2.89E+00,5.00E-01,NaN,"KMO,KYNU,TDO2"
Tumor_Microenvironment_Pathway,2.88E+00,9.50E-02,-2.668,"BCL2,FGF13,FGF17,FGF5,HGF,ICAM1,ITGA5,JUN,MMP23B,PDGFB,PIK3CD,PROK1,SLC2A3,SLC2A4,SPP1,TGFB2,TIAM1"
Glucocorticoid_Receptor_Signaling,2.87E+00,6.87E-02,NaN,"ANXA1,BAG1,BCL2,BGLAP,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ICAM1,IFNLR1,IL12RB1,IL12RB2,IL13RA1,IL13RA2,IL17RA,IL1RL2,IL20RB,IL21R,IL27RA,IL2RB,IL3RA,IL7R,JAK1,JAK3,JUN,KRT16,MAPK12,MR1,NDUFV1,NFATC2,PIK3CD,PLA2G2A,PPP3R2,SERPINE1,TAB1,TAF10,TGFB2,TLR2,YWHAH"
IL-7_Signaling_Pathway,2.85E+00,1.28E-01,-1.897,"BCL2,CCND3,HGF,IL7R,JAK1,JAK3,JUN,LYN,MAPK12,PIK3CD"
Axonal_Guidance_Signaling,2.84E+00,7.06E-02,NaN,"ADAMTS16,ADAMTS8,DPYSL2,EFNB3,EPHA5,EPHA7,EPHB6,FZD3,FZD7,GDF7,GNA14,GNB3,ITGA5,ITGA9,ITGB7,MMP23B,NCK2,NFATC2,NGEF,NTN5,NTNG1,PAK1,PDGFB,PIK3CD,PLXNC1,PPP3R2,PRKCD,PROK1,RASSF5,ROBO3,SEMA3G,SEMA4F,SLIT2,TUBB2A,WNT2,WNT2B"
Role_of_JAK1_and_JAK3_in_γc_Cytokine_Signaling,2.67E+00,1.30E-01,NaN,"IL21R,IL2RB,IL7R,IRS2,JAK1,JAK3,PIK3CD,SOCS3,STAT6"
Role_of_Osteoblasts_in_Rheumatoid_Arthritis_Signaling_Pathway,2.51E+00,8.20E-02,0,"BCL2,BGLAP,CSNK1E,CTSB,DKK1,DKK2,FZD3,FZD7,IL12A,IL36B,JAK1,JAK3,MMP23B,PIK3CD,PROK1,STAT6,TGFB2,TNFSF13,WNT2,WNT2B"
Endocannabinoid_Neuronal_Synapse_Pathway,2.43E+00,9.40E-02,-1.387,"ADCY9,CACNA2D4,CACNB2,CATSPER3,CNR1,GNA14,GNB3,GRIA1,GRIN3A,ITPR1,MAPK12,MAPK4,PPP3R2,TRPV1"
Wound_Healing_Signaling_Pathway,2.35E+00,7.94E-02,-1.789,"COL10A1,COL12A1,COL7A1,IFNGR1,IFNGR2,IL12A,IL1RAPL2,IL1RL2,IL36B,JAK1,JUN,KRT16,LAMA2,MAPK12,MST1,PDGFB,PROK1,TGFB2,TNFSF13,TRPV1"
Crosstalk_between_Dendritic_Cells_and_Natural_Killer_Cells,2.35E+00,1.10E-01,-0.816,"CD69,CD83,FSCN2,HLA-DRA,HLA-DRB5,IL12A,IL2RB,IL3RA,KIR2DL1/KIR2DL3,TLN2"
Ephrin_Receptor_Signaling,2.33E+00,8.42E-02,-2.121,"CREB3L1,EFNB3,EPHA5,EPHA7,EPHB6,GNA14,GNB3,GRIN3A,ITGA5,ITGA9,ITGB7,NCK2,NGEF,PAK1,PDGFB,PROK1,SH2D3C"
Osteoarthritis_Pathway,2.33E+00,8.05E-02,-1.291,"BGLAP,COL10A1,CREB3L1,DKK1,FZD3,FZD7,GREM1,IL1RAPL2,IL1RL2,ITGA5,ITGA9,ITGB7,MEF2C,OCRL,PROK1,PTHLH,S1PR3,SPP1,TLR2"
Antigen_Presentation_Pathway,2.29E+00,1.54E-01,NaN,"HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,MR1"
Role_of_JAK_family_kinases_in_IL-6-type_Cytokine_Signaling,2.27E+00,1.14E-01,-1.667,"IL27RA,JAK1,JUNB,MAPK12,PROK1,SERPINA3,SERPINA5,SOCS3,TGFB2"
LPS/IL-1_Mediated_Inhibition_of_RXR_Function,2.26E+00,7.78E-02,-2.449,"ABCC3,ACSL1,APOE,CHST2,CHST4,CYP2S1,CYP3A4,GSTM2,HS3ST3B1,HS3ST4,HS6ST1,HS6ST3,IL1RAPL2,IL1RL2,IL36B,JUN,LIPC,MGST1,SLC27A4,SLC27A5"
Insulin_Secretion_Signaling_Pathway,2.25E+00,7.64E-02,-2.183,"ADCY9,ASIC3,CACNA2D4,CACNB2,CREB3L1,GNA14,ITPR1,JAK1,JAK3,KCNA4,KCNB1,LYN,MAPK12,PCSK1,PIK3CD,PRKCD,PRLR,SLC2A3,SLC2A4,SSR3,STAT6"
Gαs_Signaling,2.20E+00,9.52E-02,-2.53,"ADCY9,CNR1,CREB3L1,GNA14,GNB3,HRH2,HTR4,HTR6,HTR7,MC3R,PTGER4,RAPGEF2"
"Role_of_Macrophages,_Fibroblasts_and_Endothelial_Cells_in_Rheumatoid_Arthritis",2.20E+00,7.23E-02,NaN,"CREB3L1,CSNK1E,DKK1,DKK2,DKK3,FZD3,FZD7,ICAM1,IL17RA,IL1RAPL2,IL1RL2,IL36B,IRAK2,JUN,NFATC2,PDGFB,PIK3CD,PPP3R2,PRKCD,PROK1,SOCS3,TLR2,WNT2,WNT2B"
Hepatic_Fibrosis_/_Hepatic_Stellate_Cell_Activation,2.14E+00,8.25E-02,NaN,"BCL2,COL10A1,COL12A1,COL7A1,HGF,ICAM1,IFNGR1,IFNGR2,IL1RAPL2,IL1RL2,KLF6,MYH3,PDGFB,PROK1,SERPINE1,TGFB2"
Serotonin_Receptor_Signaling,2.11E+00,6.61E-02,-4.49,"ADCY9,ADRA1B,ADRA2A,BCL2,CACNA2D4,CACNB2,CREB3L1,GAP43,GNA14,GNB3,HTR1D,HTR4,HTR6,HTR7,IL12A,JUN,KCNQ3,LYN,MAPK12,PAK1,PIK3CD,PLA2G2A,PRKCD,PSD4,PTGS1,RHOBTB2,RPS6KA3,SLC18A3,TGFB2,TRPC5,TRPC7"
CLEAR_Signaling_Pathway,2.08E+00,7.37E-02,-0.447,"ATP6V1B2,CREB3L1,CTSB,FGFR4,HGF,HPS1,ITPR1,MAPK12,MAPK4,NAGPA,NPRL2,PDGFB,PLBD2,PPP3R2,PRKCD,SUMF1,TFE3,TGFB2,TLR2,TNFRSF11A,YWHAH"
Circadian_Rhythm_Signaling,2.07E+00,7.46E-02,NaN,"ADCY9,CACNA2D4,CACNB2,CATSPER3,CREB3L1,CSNK1E,GNA14,GNB3,GRIA1,GRIN3A,GRP,GRPR,ITPR1,LYN,MTNR1B,NFIL3,PER3,PRKCD,PRKG1,TRPC7"
Superpathway_of_Inositol_Phosphate_Compounds,2.04E+00,7.69E-02,-3.873,"ATP1A1,DUSP10,DUSP2,DUSP4,DUSP5,ENPP1,INPP5J,ITPKC,MTMR8,OCRL,PI4K2A,PIK3CD,PPP3R2,PTPRC,PTPRN,PTPRO,SIRPA,SOCS3"
FGF_Signaling,2.03E+00,1.05E-01,-0.707,"CREB3L1,FGF13,FGF17,FGF5,FGFR4,HGF,ITPR1,MAPK12,PIK3CD"
Atherosclerosis_Signaling,2.02E+00,9.02E-02,NaN,"APOB,APOE,CLU,COL10A1,F3,ICAM1,IL36B,MSR1,PCYOX1,PDGFB,PLA2G2A,TNFRSF12A"
Colorectal_Cancer_Metastasis_Signaling,2.02E+00,7.38E-02,-2.668,"ADCY9,FZD3,FZD7,GNA14,GNB3,IFNGR1,JAK1,JAK3,JUN,MAPK12,MMP23B,PIK3CD,PROK1,PTGER3,PTGER4,RHOBTB2,TGFB2,TLR2,WNT2,WNT2B"
Netrin_Signaling,2.01E+00,1.11E-01,-1.633,"CACNA2D4,CACNB2,CATSPER3,ITPR1,NCK2,NFATC2,PPP3R2,PRKG1"
Corticotropin_Releasing_Hormone_Signaling,1.96E+00,8.55E-02,-0.333,"ADCY9,CACNA2D4,CACNB2,CATSPER3,CNR1,CREB3L1,ITPR1,JUN,MAPK12,MEF2A,MEF2C,PRKCD,UCN"
Airway_Inflammation_in_Asthma,1.96E+00,1.52E-01,NaN,"IFNGR1,IFNGR2,IL12A,RNASE2,TGFB2"
Type_II_Diabetes_Mellitus_Signaling,1.94E+00,8.50E-02,-0.447,"ACSL1,CACNA2D4,CACNB2,CATSPER3,IRS2,ITPR1,MAPK12,PIK3CD,PRKCD,SLC27A4,SLC27A5,SLC2A4,SOCS3"
PCP_(Planar_Cell_Polarity)_Pathway,1.93E+00,1.17E-01,-1.89,"FZD3,FZD7,JUN,JUNB,MAPK12,WNT2,WNT2B"
3-phosphoinositide_Biosynthesis,1.91E+00,7.77E-02,-3.606,"ATP1A1,DUSP10,DUSP2,DUSP4,DUSP5,ENPP1,MTMR8,OCRL,PI4K2A,PIK3CD,PPP3R2,PTPRC,PTPRN,PTPRO,SIRPA,SOCS3"
Fatty_Acid_β-oxidation_I,1.90E+00,1.47E-01,-0.447,"ACSL1,ECI1,SDS,SLC27A4,SLC27A5"
Reelin_Signaling_in_Neurons,1.90E+00,8.70E-02,-2.53,"APOE,ARHGEF3,CNR1,GRIN3A,ITGA5,LYN,MAP1B,MAPK12,NDEL1,PAFAH1B3,PDK3,PIK3CD"
Macrophage_Classical_Activation_Signaling_Pathway,1.90E+00,7.94E-02,-2.324,"HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,IFNGR1,IFNGR2,IL12A,IL13RA1,IL36B,JAK1,SOCS3,STAT6,TGFB2,TNFSF13"
Granulocyte_Adhesion_and_Diapedesis,1.90E+00,7.94E-02,NaN,"CCL22,CCR9,CLDN15,CXCL6,FPR1,HRH1,HRH2,ICAM1,IL1RAPL2,IL1RL2,IL36B,MMP23B,MSN,XCL1,XCL2"
nNOS_Signaling_in_Neurons,1.90E+00,1.28E-01,NaN,"CAPN1,CAPN5,GRIN3A,NOS1AP,PPP3R2,PRKCD"
Chondroitin_Sulfate_Biosynthesis,1.89E+00,1.15E-01,-2.646,"CHPF2,CHST2,CHST4,HS3ST3B1,HS3ST4,HS6ST1,HS6ST3"
HIF1α_Signaling,1.87E+00,7.69E-02,-3,"ADRA1B,HGF,HK1,HK2,JUN,MMP23B,PDGFB,PIK3CD,PPP3R2,PRKCD,PROK1,SAT2,SERPINE1,SLC2A3,SLC2A4,TGFB2"
Production_of_Nitric_Oxide_and_Reactive_Oxygen_Species_in_Macrophages,1.86E+00,7.85E-02,-2.673,"APOB,APOE,CLU,IFNGR1,IFNGR2,JAK1,JAK3,JUN,MAPK12,PCYOX1,PIK3CD,PRKCD,RHOBTB2,SIRPA,TLR2"
3-phosphoinositide_Degradation,1.86E+00,7.85E-02,-3.464,"ATP1A1,DUSP10,DUSP2,DUSP4,DUSP5,ENPP1,INPP5J,MTMR8,OCRL,PPP3R2,PTPRC,PTPRN,PTPRO,SIRPA,SOCS3"
MSP-RON_Signaling_in_Cancer_Cells_Pathway,1.86E+00,8.57E-02,-1.508,"CREB3L1,ELK3,ETS2,IL3RA,JUN,KLK14,MST1,PIK3CD,PROK1,RPS6KA3,ST14,YWHAH"
Tryptophan_Degradation_III_(Eukaryotic),1.86E+00,1.74E-01,NaN,"CYP2S1,KMO,KYNU,TDO2"
IL-9_Signaling,1.85E+00,1.43E-01,-1.342,"IRS2,JAK1,JAK3,PIK3CD,SOCS3"
Regulation_of_the_Epithelial_Mesenchymal_Transition_by_Growth_Factors_Pathway,1.84E+00,7.81E-02,-1.155,"FGF13,FGF17,FGF5,FGFR4,HGF,JAK1,JAK3,JUN,LATS2,MAPK12,PDGFB,PIK3CD,TAB1,TGFB2,TNFSF13"
NAD_biosynthesis_II_(from_tryptophan),1.83E+00,2.31E-01,NaN,"KMO,KYNU,TDO2"
Guanosine_Nucleotides_Degradation_III,1.83E+00,2.31E-01,NaN,"GDA,NT5C1B,XDH"
Dermatan_Sulfate_Biosynthesis,1.82E+00,1.11E-01,-2.646,"CHPF2,CHST2,CHST4,HS3ST3B1,HS3ST4,HS6ST1,HS6ST3"
Citrulline-Nitric_Oxide_Cycle,1.80E+00,4.00E-01,NaN,"ASL,ASS1"
FXR/RXR_Activation,1.80E+00,8.73E-02,NaN,"APOB,APOE,CLU,FGFR4,HPX,IL36B,LIPC,MAPK12,PCYOX1,SERPINF1,SLC27A5"
IL-3_Signaling,1.78E+00,1.01E-01,-2.121,"IL3RA,JAK1,JUN,PAK1,PIK3CD,PPP3R2,PRKCD,STAT6"
Dermatan_Sulfate_Biosynthesis_(Late_Stages),1.77E+00,1.20E-01,-2.449,"CHST2,CHST4,HS3ST3B1,HS3ST4,HS6ST1,HS6ST3"
Pulmonary_Fibrosis_Idiopathic_Signaling_Pathway,1.75E+00,6.75E-02,-1.964,"BCL2,COL10A1,COL12A1,COL7A1,FGFR4,FZD3,FZD7,IL13RA1,IL17RA,JUN,LATS2,MAPK12,MMP23B,PDGFB,PIK3CD,RPS6KA3,SERPINE1,STAT6,TERT,TGFB2,WNT2,WNT2B"
"D-myo-inositol_(1,4,5,6)-Tetrakisphosphate_Biosynthesis",1.74E+00,7.78E-02,-3.317,"ATP1A1,DUSP10,DUSP2,DUSP4,DUSP5,ENPP1,MTMR8,OCRL,PPP3R2,PTPRC,PTPRN,PTPRO,SIRPA,SOCS3"
"D-myo-inositol_(3,4,5,6)-tetrakisphosphate_Biosynthesis",1.74E+00,7.78E-02,-3.317,"ATP1A1,DUSP10,DUSP2,DUSP4,DUSP5,ENPP1,MTMR8,OCRL,PPP3R2,PTPRC,PTPRN,PTPRO,SIRPA,SOCS3"
Oxytocin_in_Brain_Signaling_Pathway,1.71E+00,7.54E-02,-1.069,"CACNA2D4,CACNB2,CATSPER3,CREB3L1,GNB3,ITPR1,KCNJ13,MEF2A,MEF2C,NLRP6,PIK3CD,PLA2G2A,PRKCD,PTGS1,TRPV1"
"Role_of_JAK1,_JAK2_and_TYK2_in_Interferon_Signaling",1.67E+00,1.54E-01,-1,"IFNGR1,IFNGR2,JAK1,TSHB"
Orexin_Signaling_Pathway,1.67E+00,7.14E-02,-1.698,"ADCY9,ATP6V1B2,CACNA2D4,CACNB2,CATSPER3,CNR1,GNB3,HCRTR2,HSD3B2,ITPR1,MAPK12,PIK3CD,PLA2G2A,PRKCD,SLC2A4,TRPC5,TRPC7"
RAR_Activation,1.66E+00,6.29E-02,-2.117,"ADCY9,BCO1,CHAT,COL10A1,CREB3L1,DKK1,DKK2,ENPP1,GNA14,GRIA1,IL12A,IL36B,IL3RA,JUN,MAPK12,NT5C1B,PDE1B,PDE6B,PDE6C,PDE9A,PIK3CD,PRKCD,RDH16,RHOBTB2,SOCS3,TGFB2,TNFSF13"
HGF_Signaling,1.66E+00,8.33E-02,-1.89,"ELK3,ETS2,HGF,ITGA5,ITGA9,ITGB7,JUN,MAPK12,PAK1,PIK3CD,PRKCD"
Heparan_Sulfate_Biosynthesis_(Late_Stages),1.66E+00,9.64E-02,-2.828,"CHST2,CHST4,EXTL1,EXTL2,HS3ST3B1,HS3ST4,HS6ST1,HS6ST3"
Chondroitin_Sulfate_Biosynthesis_(Late_Stages),1.66E+00,1.13E-01,-2.449,"CHST2,CHST4,HS3ST3B1,HS3ST4,HS6ST1,HS6ST3"
