Ingenuity_Canonical_Pathways,_-log(p-value),Ratio,z-score,Molecules
NAD_Phosphorylation_and_Dephosphorylation,1.00E+00,1.54E-01,NaN,"ACP6,NADK"
Factors_Promoting_Cardiogenesis_in_Vertebrates,9.83E-01,6.54E-02,0,"CREB3L4,FZD1,FZD9,HNF1A,NPPA,PLCG1,TCF7L1,WNT1,WNT10B,WNT7B"
Chronic_Myeloid_Leukemia_Signaling,9.32E-01,5.76E-02,-1.5,"ABL1,CASP9,CDK4,DVL2,FZD1,FZD9,GLI3,HDAC6,HNF1A,IL4,PLCG1,RBL1,TCF7L1,WNT1,WNT10B,WNT7B"
Thyronamine_and_Iodothyronamine_Metabolism,9.24E-01,3.33E-01,NaN,DIO3
Geranylgeranyldiphosphate_Biosynthesis,9.24E-01,3.33E-01,NaN,GGPS1
Thiosulfate_Disproportionation_III_(Rhodanese),9.24E-01,3.33E-01,NaN,MOCS3
Thyroid_Hormone_Metabolism_I_(via_Deiodination),9.24E-01,3.33E-01,NaN,DIO3
Tyrosine_Biosynthesis_IV,9.24E-01,3.33E-01,NaN,PCBD2
L-serine_Degradation,9.24E-01,3.33E-01,NaN,SDS
Role_of_RIG1-like_Receptors_in_Antiviral_Innate_Immunity,9.13E-01,8.70E-02,0,"DHX58,IFNA8,IRF3,MAVS"
Gustation_Pathway,8.70E-01,5.94E-02,0.577,"CACNA1H,CALHM1,FFAR4,GABRB2,GABRD,LIPG,LIPH,P2RY4,PNLIP,TAS1R2,TAS2R13,TAS2R20"
WNT/Ca+_pathway,8.60E-01,7.58E-02,-1.342,"CREB3L4,DVL2,FZD1,FZD9,PLCG1"
Granzyme_B_Signaling,8.52E-01,1.25E-01,NaN,"CASP9,NUMA1"
Extrinsic_Prothrombin_Activation_Pathway,8.52E-01,1.25E-01,NaN,"F7,SERPINC1"
"D-myo-inositol_(1,4,5)-trisphosphate_Degradation",8.52E-01,1.25E-01,NaN,"INPP5B,INPPL1"
Parkinson's_Signaling,8.52E-01,1.25E-01,NaN,"CASP9,SNCAIP"
Mouse_Embryonic_Stem_Cell_Pluripotency,8.52E-01,6.73E-02,-1.89,"DVL2,FZD1,FZD9,HNF1A,SOX2,TCF7L1,TYK2"
Role_of_NANOG_in_Mammalian_Embryonic_Stem_Cell_Pluripotency,8.44E-01,6.45E-02,NaN,"FZD1,FZD9,SOX2,TCF7L1,TYK2,WNT1,WNT10B,WNT7B"
Assembly_of_RNA_Polymerase_II_Complex,8.18E-01,8.00E-02,-2,"GTF2H4,POLR2H,TAF15,TAF4"
Cell_Cycle:_G2/M_DNA_Damage_Checkpoint_Regulation,8.18E-01,8.00E-02,NaN,"ABL1,BRCA1,MDM4,YWHAH"
Isoleucine_Degradation_I,8.10E-01,1.18E-01,NaN,"BCAT2,SDS"
Branched-chain_α-keto_acid_Dehydrogenase_Complex,8.08E-01,2.50E-01,NaN,BCKDHA
Heme_Biosynthesis_from_Uroporphyrinogen-III_I,8.08E-01,2.50E-01,NaN,PPOX
Proline_Biosynthesis_I,8.08E-01,2.50E-01,NaN,PYCR2
Arginine_Degradation_I_(Arginase_Pathway),8.08E-01,2.50E-01,NaN,ARG2
Phenylalanine_Degradation_I_(Aerobic),8.08E-01,2.50E-01,NaN,PCBD2
Molybdenum_Cofactor_Biosynthesis,8.08E-01,2.50E-01,NaN,MOCS3
Neuroinflammation_Signaling_Pathway,7.74E-01,5.36E-02,-1.807,"AGER,CREB3L4,CX3CL1,FZD1,GABRB2,GABRD,IFNA8,IL34,IL4,IRF3,MAPK7,NCSTN,NOX1,PLCG1,TICAM2,TYK2,WNT1"
Dilated_Cardiomyopathy_Signaling_Pathway,7.67E-01,6.00E-02,-0.707,"CACNA1H,CAMK1G,CASP9,CNN1,MYH1,MYH13,MYH3,MYL3,PDE2A"
Nucleotide_Excision_Repair_Pathway,7.55E-01,8.57E-02,NaN,"GTF2H4,POLR2H,RPA1"
Sperm_Motility,7.40E-01,5.45E-02,0.447,"ABL1,CACNA1H,CLK2,CLK3,CLK4,FGFR4,LTK,NPPA,PDE2A,PLCG1,PTK6,RET,STYK1,TYK2"
WNT/β-catenin_Signaling,7.29E-01,5.75E-02,0.632,"DVL2,FZD1,FZD9,HNF1A,SOX12,SOX2,TCF7L1,WNT1,WNT10B,WNT7B"
Proline_Biosynthesis_II_(from_Arginine),7.20E-01,2.00E-01,NaN,PYCR2
Creatine-phosphate_Biosynthesis,7.20E-01,2.00E-01,NaN,CKMT1A/CKMT1B
Lysine_Degradation_II,7.20E-01,2.00E-01,NaN,AASDH
Lysine_Degradation_V,7.20E-01,2.00E-01,NaN,AASDH
"Trans,_trans-farnesyl_Diphosphate_Biosynthesis",7.20E-01,2.00E-01,NaN,GGPS1
Lactose_Degradation_III,7.20E-01,2.00E-01,NaN,GLB1L3
Non-Small_Cell_Lung_Cancer_Signaling,7.11E-01,6.38E-02,NaN,"ABL1,CASP9,CDK4,HDAC6,PLCG1,RBL1"
GPCR-Mediated_Integration_of_Enteroendocrine_Signaling_Exemplified_by_an_L_Cell,7.00E-01,6.67E-02,1.342,"ADRB3,CALCA,CHRM2,PLCG1,VIPR1"
SNARE_Signaling_Pathway,6.92E-01,5.88E-02,-0.707,"MYH1,MYH13,MYH3,MYL3,SGTA,STX16,STXBP3,SYN3"
Breast_Cancer_Regulation_by_Stathmin1,6.87E-01,4.88E-02,2.414,"ADRB3,ANKHD1/ANKHD1-EIF4EBP3,ARHGEF1,AVPR1A,CAMK1G,CDK4,CHRM2,CREB3L4,FFAR4,FZD1,FZD9,GPR150,GPR153,GPR21,GPR22,GPR68,GPR83,GRM7,HRH2,HTR1F,HTR2C,KISS1R,P2RY4,PTH1R,RXFP1,SSTR2,SSTR3,TAS1R2,VIPR1"
Tight_Junction_Signaling,6.69E-01,5.56E-02,NaN,"CDK4,CGN,CLDN16,CPSF1,CSTF1,MYH1,MYH13,MYH3,MYL3,STX16"
tRNA_Charging,6.61E-01,7.69E-02,NaN,"HARS2,TARS2,WARS2"
Role_of_CHK_Proteins_in_Cell_Cycle_Checkpoint_Control,6.59E-01,6.90E-02,NaN,"BRCA1,RAD9A,RPA1,SLC19A1"
Urea_Cycle,6.49E-01,1.67E-01,NaN,ARG2
Serotonin_and_Melatonin_Biosynthesis,6.49E-01,1.67E-01,NaN,TPH2
Glycine_Cleavage_Complex,6.49E-01,1.67E-01,NaN,AMT
Selenocysteine_Biosynthesis_II_(Archaea_and_Eukaryotes),6.49E-01,1.67E-01,NaN,SEPSECS
UDP-N-acetyl-D-glucosamine_Biosynthesis_II,6.49E-01,1.67E-01,NaN,FMO3
Zymosterol_Biosynthesis,6.49E-01,1.67E-01,NaN,LBR
GDP-mannose_Biosynthesis,6.49E-01,1.67E-01,NaN,GMPPA
ATM_Signaling,6.30E-01,6.00E-02,-0.447,"ABL1,BRAT1,BRCA1,CREB3L4,MDM4,RAD9A"
Hereditary_Breast_Cancer_Signaling,6.26E-01,5.63E-02,NaN,"BRCA1,CDK4,FANCF,HDAC6,POLR2H,RPA1,SLC19A1,SMARCE1"
CREB_Signaling_in_Neurons,6.20E-01,4.78E-02,2.646,"ADRB3,AVPR1A,CACNA1H,CHRM2,CREB3L4,FFAR4,FGFR4,FZD1,FZD9,GPR150,GPR153,GPR21,GPR22,GPR68,GPR83,GRM7,HRH2,HTR1F,HTR2C,KISS1R,P2RY4,PLCG1,POLR2H,PTH1R,RXFP1,SSTR2,SSTR3,TAS1R2,VIPR1"
Glycoaminoglycan-protein_Linkage_Region_Biosynthesis,5.91E-01,1.43E-01,NaN,XYLT2
Pyrimidine_Ribonucleotides_De_Novo_Biosynthesis,5.80E-01,6.98E-02,NaN,"CAD,DHODH,NME2"
BER_(Base_Excision_Repair)_Pathway,5.61E-01,6.82E-02,NaN,"LIG1,RPA1,SLC19A1"
cAMP-mediated_signaling,5.61E-01,5.08E-02,2.714,"ADRB3,AKAP17A,CAMK1G,CHRM2,CREB3L4,GRM7,HRH2,HTR1F,PDE2A,PTH1R,SSTR3,VIPR1"
Gluconeogenesis_I,5.56E-01,8.00E-02,NaN,"ENO3,ME1"
Activation_of_IRF_by_Cytosolic_Pattern_Recognition_Receptors,5.48E-01,6.15E-02,0,"DHX58,IFNA8,IRF3,MAVS"
HIPPO_signaling,5.46E-01,5.81E-02,-0.447,"CRB1,MST1,SCRIB,TEAD1,YWHAH"
FGF_Signaling,5.46E-01,5.81E-02,-1.342,"CREB3L4,FGF9,FGFR4,MAPKAPK2,PLCG1"
Sphingomyelin_Metabolism,5.42E-01,1.25E-01,NaN,SMPD4
PDGF_Signaling,5.34E-01,5.75E-02,-2.236,"ABL1,INPP5B,INPPL1,PLCG1,TYK2"
Estrogen-mediated_S-phase_Entry,5.33E-01,7.69E-02,NaN,"CDK4,RBL1"
Ubiquinol-10_Biosynthesis_(Eukaryotic),5.33E-01,7.69E-02,NaN,"BCKDHA,CYP26A1"
Phagosome_Formation,5.32E-01,4.60E-02,3.182,"ADRB3,AVPR1A,CHRM2,FCAMR,FCER2,FFAR4,FZD1,FZD9,GPR150,GPR153,GPR21,GPR22,GPR68,GPR83,GRM7,HRH2,HTR1F,HTR2C,KISS1R,MAPK7,MYH1,MYH13,MYH3,MYL3,P2RY4,PLCG1,PTH1R,RXFP1,SSTR2,SSTR3,TAS1R2,VIPR1"
Role_of_OCT4_in_Mammalian_Embryonic_Stem_Cell_Pluripotency,5.27E-01,6.52E-02,NaN,"BRCA1,REST,SOX2"
DNA_damage-induced_14-3-3σ_Signaling,5.27E-01,6.52E-02,NaN,"BRCA1,CASP9,RAD9A"
Cell_Cycle:_G1/S_Checkpoint_Regulation,5.07E-01,5.88E-02,0,"ABL1,CDK4,HDAC6,RBL1"
Role_of_Osteoblasts_in_Rheumatoid_Arthritis_Signaling_Pathway,5.04E-01,4.92E-02,0,"CTSG,FZD1,FZD9,HNF1A,IL4,MMP17,TCF7L1,TNFSF9,TYK2,WNT1,WNT10B,WNT7B"
Citrulline_Biosynthesis,4.99E-01,1.11E-01,NaN,ARG2
Heme_Biosynthesis_II,4.99E-01,1.11E-01,NaN,PPOX
Retinol_Biosynthesis,4.95E-01,6.25E-02,NaN,"LIPG,PNLIP,RDH12"
Coronavirus_Pathogenesis_Pathway,4.70E-01,4.90E-02,1.265,"ABL1,CASP9,CDK4,DPP9,HDAC6,IFNA8,IRF3,MAVS,RBL1,TYK2"
Superpathway_of_Cholesterol_Biosynthesis,4.69E-01,6.90E-02,NaN,"GGPS1,LBR"
Embryonic_Stem_Cell_Differentiation_into_Cardiac_Lineages,4.62E-01,1.00E-01,NaN,SOX2
Bladder_Cancer_Signaling,4.57E-01,5.17E-02,NaN,"ABL1,CDK4,FGF9,HDAC6,MMP17,RBL1"
Inhibition_of_ARE-Mediated_mRNA_Degradation_Pathway,4.39E-01,4.91E-02,1.134,"AGO3,EXOSC10,MAPK7,MAPKAPK2,PARN,PSMA2,TNFSF9,YWHAH"
Small_Cell_Lung_Cancer_Signaling,4.36E-01,5.21E-02,NaN,"ABL1,CASP9,CDK4,HDAC6,RBL1"
Sonic_Hedgehog_Signaling,4.32E-01,6.45E-02,NaN,"GLI3,STK36"
Ketogenesis,4.29E-01,9.09E-02,NaN,HMGCL
Dolichyl-diphosphooligosaccharide_Biosynthesis,4.29E-01,9.09E-02,NaN,ALG6
Glycine_Betaine_Degradation,4.29E-01,9.09E-02,NaN,SDS
Hematopoiesis_from_Multipotent_Stem_Cells,4.00E-01,8.33E-02,NaN,IL4
Glioblastoma_Multiforme_Signaling,3.83E-01,4.68E-02,0.378,"CDK4,FZD1,FZD9,PLCG1,RHOT2,WNT1,WNT10B,WNT7B"
Glioma_Signaling,3.81E-01,4.80E-02,NaN,"ABL1,CAMK1G,CDK4,HDAC6,PLCG1,RBL1"
Cholesterol_Biosynthesis_I,3.73E-01,7.69E-02,NaN,LBR
"Cholesterol_Biosynthesis_II_(via_24,25-dihydrolanosterol)",3.73E-01,7.69E-02,NaN,LBR
Cholesterol_Biosynthesis_III_(via_Desmosterol),3.73E-01,7.69E-02,NaN,LBR
Pancreatic_Adenocarcinoma_Signaling,3.73E-01,4.76E-02,NaN,"ABL1,CASP9,CDK4,HDAC6,RBL1,TYK2"
Sumoylation_Pathway,3.72E-01,4.85E-02,1,"ARHGDIG,RHOT2,RPA1,SLC19A1,ZNF217"
Coagulation_System,3.68E-01,5.71E-02,NaN,"F7,SERPINC1"
Cellular_Effects_of_Sildenafil_(Viagra),3.67E-01,4.67E-02,NaN,"MYH1,MYH13,MYH3,MYL3,NPPA,PDE2A,PLCG1"
Triacylglycerol_Degradation,3.63E-01,5.17E-02,NaN,"LIPG,PNLIP,TARS2"
TR/RXR_Activation,3.58E-01,4.69E-02,1.633,"DIO3,GPS2,ME1,NRF1,NRGN,TBL1Y"
Pulmonary_Healing_Signaling_Pathway,3.54E-01,4.52E-02,1,"DLK1,FZD1,FZD9,HNF1A,MMP17,TCF7L1,WNT1,WNT10B,WNT7B"
"Phenylalanine_Degradation_IV_(Mammalian,_via_Side_Chain)",3.50E-01,7.14E-02,NaN,AASDH
Colanic_Acid_Building_Blocks_Biosynthesis,3.50E-01,7.14E-02,NaN,GMPPA
WNK_Renal_Signaling_Pathway,3.48E-01,4.72E-02,NaN,"ANAPC2,ANAPC4,BRCA1,IRS4,KCNJ1"
Human_Embryonic_Stem_Cell_Pluripotency,3.43E-01,4.48E-02,-0.333,"FGFR4,FZD1,FZD9,REST,SOX2,TYK2,WNT1,WNT10B,WNT7B"
GADD45_Signaling,3.42E-01,5.00E-02,NaN,"BRCA1,CDK4,POU2F1"
Complement_System,3.40E-01,5.41E-02,NaN,"C5,C7"
Mitochondrial_Dysfunction,3.36E-01,4.35E-02,1.069,"ADRB3,ARG2,CACNA1H,CASP9,CREB3L4,DHODH,FUS,GSTM2,MAPK7,MFN1,NCSTN,NDUFA13,NDUFV2,NRF1,RHOT2"
ISGylation_Signaling_Pathway,3.32E-01,4.63E-02,-1.342,"HDAC6,IFNA8,IRF3,LIPG,TYK2"
Semaphorin_Signaling_in_Neurons,3.31E-01,4.92E-02,NaN,"ARHGAP1,PLXNA3,RHOT2"
Insulin_Secretion_Signaling_Pathway,3.29E-01,4.36E-02,-2.309,"AGO3,CACNA1H,CREB3L4,CRTC2,EIF2B1,EIF2B4,HNF1A,PLCG1,PRL,SLC2A2,STX16,TYK2"
Assembly_of_RNA_Polymerase_III_Complex,3.28E-01,6.67E-02,NaN,SF3A2
Telomere_Extension_by_Telomerase,3.28E-01,6.67E-02,NaN,HNRNPA2B1
Superpathway_of_Citrulline_Metabolism,3.28E-01,6.67E-02,NaN,ARG2
Cyclins_and_Cell_Cycle_Regulation,3.27E-01,4.71E-02,NaN,"ABL1,CDK4,HDAC6,RBL1"
Notch_Signaling,3.27E-01,5.26E-02,NaN,"MAML1,NCSTN"
"Role_of_Osteoblasts,_Osteoclasts_and_Chondrocytes_in_Rheumatoid_Arthritis",3.25E-01,4.39E-02,NaN,"CASP9,FZD1,FZD9,HNF1A,IL1RL2,IL4,TCF7L1,WNT1,WNT10B,WNT7B"
Role_of_JAK2_in_Hormone-like_Cytokine_Signaling,3.21E-01,4.84E-02,NaN,"IRS4,PRL,TYK2"
Pulmonary_Fibrosis_Idiopathic_Signaling_Pathway,3.15E-01,4.29E-02,0,"COL17A1,FGF9,FGFR4,FZD1,FZD9,HNF1A,IL4,MMP17,RBBP7,TCF7L1,TYK2,WNT1,WNT10B,WNT7B"
Dermatan_Sulfate_Biosynthesis,3.12E-01,4.76E-02,NaN,"CHST14,HS3ST2,XYLT2"
Myelination_Signaling_Pathway,3.11E-01,4.28E-02,-1.069,"ARHGAP1,CREB3L4,FGFR4,FZD1,FZD9,GLI3,HDAC6,LINGO1,NCSTN,PLCG1,SOX2,WNT1,WNT10B,WNT7B"
Aryl_Hydrocarbon_Receptor_Signaling,3.10E-01,4.40E-02,-1.342,"CDK4,GSTM2,HSPB3,NFIX,POLA1,RBL1,TGM2"
Molecular_Mechanisms_of_Cancer,3.01E-01,4.22E-02,NaN,"ABL1,ARHGEF1,BRCA1,CASP9,CDK11A,CDK11B,CDK13,CDK4,FZD1,FZD9,HDAC6,NCSTN,RBL1,RHOT2,STK36,TYK2,WNT1,WNT10B,WNT7B"
Agranulocyte_Adhesion_and_Diapedesis,2.95E-01,4.29E-02,NaN,"C5,CD99,CLDN16,CX3CL1,MMP17,MYH1,MYH13,MYH3,MYL3"
White_Adipose_Tissue_Browning_Pathway,2.92E-01,4.35E-02,0,"ADRB3,CACNA1H,CREB3L4,FGFR4,NPPA,NRF1"
IL-12_Signaling_and_Production_in_Macrophages,2.91E-01,4.26E-02,-0.632,"DHX58,IFNA8,IL12RB2,IL4,IRF3,MST1,POU2F1,PRL,TICAM2,TYK2"
Prostate_Cancer_Signaling,2.90E-01,4.39E-02,NaN,"ABL1,CASP9,CREB3L4,HDAC6,RBL1"
Dermatan_Sulfate_Degradation_(Metazoa),2.90E-01,5.88E-02,NaN,IDUA
Osteoarthritis_Pathway,2.87E-01,4.24E-02,-1,"AGER,CASP9,CREB3L4,FZD1,FZD9,GLI3,HNF1A,IL1RL2,PTH1R,TCF7L1"
Role_of_PI3K/AKT_Signaling_in_the_Pathogenesis_of_Influenza,2.85E-01,4.55E-02,NaN,"CASP9,IFNA8,IRF3"
Granulocyte_Adhesion_and_Diapedesis,2.79E-01,4.23E-02,NaN,"C5,CD99,CLDN16,CX3CL1,HRH2,IL1RL2,MMP17,THY1"
Superpathway_of_Geranylgeranyldiphosphate_Biosynthesis_I_(via_Mevalonate),2.73E-01,5.56E-02,NaN,GGPS1
Airway_Pathology_in_Chronic_Obstructive_Pulmonary_Disease,2.65E-01,4.24E-02,NaN,"CTSG,FGF9,IL4,PRTN3,TNFSF9"
Leukocyte_Extravasation_Signaling,2.60E-01,4.15E-02,0.447,"ABL1,ARHGAP1,CD99,CLDN16,MMP17,NOX1,PLCG1,THY1"
p38_MAPK_Signaling,2.53E-01,4.17E-02,-0.447,"CREB3L4,HMGN1,HSPB3,IL1RL2,MAPKAPK2"
tRNA_Splicing,2.41E-01,4.35E-02,NaN,"PDE2A,TSEN54"
IL-23_Signaling_Pathway,2.41E-01,4.35E-02,NaN,"IL12RB2,TYK2"
Endoplasmic_Reticulum_Stress_Pathway,2.30E-01,4.76E-02,NaN,CASP9
Pregnenolone_Biosynthesis,2.18E-01,4.55E-02,NaN,CYP26A1
Role_of_Lipids/Lipid_Rafts_in_the_Pathogenesis_of_Influenza,2.06E-01,4.35E-02,NaN,IFNA8
Pyrimidine_Deoxyribonucleotides_De_Novo_Biosynthesis_I,2.06E-01,4.35E-02,NaN,NME2
Histidine_Degradation_VI,2.06E-01,4.35E-02,NaN,CYP26A1
Methionine_Degradation_I_(to_Homocysteine),2.06E-01,4.35E-02,NaN,EHMT1
IL-22_Signaling,1.95E-01,4.17E-02,NaN,TYK2
Tumoricidal_Function_of_Hepatic_Natural_Killer_Cells,1.95E-01,4.17E-02,NaN,CASP9
The_Visual_Cycle,1.95E-01,4.17E-02,NaN,RDH12
NAD_Signaling_Pathway,0.00E+00,1.99E-02,NaN,"NADK,POLR2H,SIRT7"
Neurovascular_Coupling_Signaling_Pathway,0.00E+00,2.16E-02,1.342,"CACNA1H,CHRM2,GABRB2,GABRD,KCNJ1"
Oxytocin_in_Brain_Signaling_Pathway,0.00E+00,1.51E-02,NaN,"CACNA1H,CREB3L4,MAPK7"
Oxytocin_Signaling_Pathway,0.00E+00,2.84E-02,0.707,"CREB3L4,HSPB3,MAPK7,MYH1,MYH13,MYH3,MYL3,NPPA"
Pyroptosis_Signaling_Pathway,0.00E+00,2.15E-02,NaN,"CASP9,TXNIP"
Wound_Healing_Signaling_Pathway,0.00E+00,3.57E-02,1,"CALCA,COL17A1,IL1RL2,IL4,MST1,TAC1,TNFSF9,TPSAB1/TPSB2,TYK2"
CLEAR_Signaling_Pathway,0.00E+00,2.81E-02,-1.414,"CREB3L4,CRTC2,CTNS,FGFR4,MAPK7,PLCG1,SGSH,YWHAH"
ID1_Signaling_Pathway,0.00E+00,3.48E-02,-0.378,"ATAD5,BHLHA15,CDK4,DVL2,FGFR4,REST,TGM2"
IL-13_Signaling_Pathway,0.00E+00,1.72E-02,NaN,"IL4,TYK2"
Oxytocin_in_Spinal_Neurons_Signaling_Pathway,0.00E+00,2.86E-02,NaN,AVPR1A
Immunogenic_Cell_Death_Signaling_Pathway,0.00E+00,3.33E-02,NaN,"CASP9,IFNA8,IRF3"
Macrophage_Classical_Activation_Signaling_Pathway,0.00E+00,3.17E-02,-0.447,"IFNA8,IL4,IRF3,RBBP7,TNFSF9,TYK2"
Multiple_Sclerosis_Signaling_Pathway,0.00E+00,2.25E-02,-0.447,"C5,C7,IL4,RBBP7,TNFSF9"
Pathogen_Induced_Cytokine_Storm_Signaling_Pathway,0.00E+00,3.50E-02,0.277,"AP3B1,C5,COL17A1,CX3CL1,DHX58,IFNA8,IL12RB2,IL1RL2,IL4,IRF3,MAPK7,SLC2A2,TNFSF9"
Role_of_Chondrocytes_in_Rheumatoid_Arthritis_Signaling_Pathway,0.00E+00,2.13E-02,NaN,"CASP9,IL1RL2,MMP17"
Role_of_Osteoclasts_in_Rheumatoid_Arthritis_Signaling_Pathway,0.00E+00,2.92E-02,0.707,"ADAM15,CASP9,COL17A1,CREB3L4,IL1RL2,IL4,MMP17,PLCG1,RHOT2"
Ribonucleotide_Reductase_Signaling_Pathway,0.00E+00,2.35E-02,-1,"CASP9,CDK4,CREB3L4,SMARCE1"
