id,name,GENN_adjpval,GNN_adjpval,RF_adjpval,GroupLASSO_adjpval,LASSO_adjpval
WP2650,Arachidonic acid metabolism,1,1,NA,NA,NA
WP2653,PIP3 activates AKT signaling,1,1,NA,NA,NA
WP2684,Host Interactions of HIV factors,1,1,NA,NA,NA
WP2710,Nonsense-Mediated Decay (NMD),1,1,NA,NA,NA
WP2737,SRP-dependent cotranslational protein targeting to membrane,1,1,NA,NA,NA
WP2743,Glycosaminoglycan metabolism,1,1,NA,NA,NA
WP2772,S Phase,1,1,NA,NA,NA
WP2788,Sphingolipid metabolism,1,1,NA,NA,NA
WP2853,Endoderm differentiation,1,1,NA,NA,NA
WP2857,Mesodermal commitment pathway,1,1,NA,NA,NA
WP2858,Ectoderm differentiation,1,1,NA,NA,NA
WP286,IL-3 signaling pathway,1,1,NA,NA,NA
WP357,Fatty acid biosynthesis,1,1,NA,NA,NA
WP3571,Gene Silencing by RNA,1,1,NA,NA,NA
WP366,TGF-beta signaling pathway,1,1,NA,NA,NA
WP3791,Selenoamino acid metabolism,1,1,NA,NA,NA
WP3925,Amino acid metabolism,1,1,NA,NA,NA
WP4018,Clear cell renal cell carcinoma pathways,1,1,NA,NA,NA
WP4085,Phase I - Functionalization of compounds,1,1,NA,NA,NA
WP4093,Glucose metabolism,1,1,NA,NA,NA
WP4263,Pancreatic adenocarcinoma pathway,1,1,NA,NA,NA
WP4298,Acute viral myocarditis,1,1,NA,NA,NA
WP4428,G-protein beta:gamma signaling,1,1,NA,NA,NA
WP4432,ESR-mediated signaling,1,1,NA,NA,NA
WP453,Inflammatory response pathway,1,1,NA,NA,NA
WP4564,Neural crest cell migration during development,1,1,NA,NA,NA
WP4565,Neural crest cell migration in cancer,1,1,NA,NA,NA
WP4630,Measles virus infection,1,1,NA,NA,NA
WP4673,Male infertility,1,1,NA,NA,NA
WP4719,Eicosanoid metabolism via cyclooxygenases (COX),1,1,NA,NA,NA
WP4946,"DNA repair pathways, full network",1,1,NA,NA,NA
WP4975,Response of EIF2AK4 (GCN2) to amino acid deficiency,1,1,NA,NA,NA
WP5092,Interactions of natural killer cells in pancreatic cancer,1,1,NA,NA,NA
WP5095,Overview of proinflammatory and profibrotic mediators,1,1,NA,NA,NA
WP5098,T-cell activation SARS-CoV-2,1,1,NA,NA,NA
WP5121,Sphingolipid metabolism in senescence,1,1,NA,NA,NA
WP5122,Prostaglandin and leukotriene metabolism in senescence,1,1,NA,NA,NA
WP5218,Extrafollicular and follicular B cell activation by SARS-CoV-2,1,1,NA,NA,NA
WP710,DNA damage response (only ATM dependent),1,1,NA,NA,NA
WP75,Toll-like receptor signaling pathway,1,1,NA,NA,NA
WP98,Prostaglandin synthesis and regulation,1,1,NA,NA,NA
map00010,Glycolysis / Gluconeogenesis,1,NA,NA,NA,NA
map00072,Ketone Body Metabolism,1,NA,NA,NA,NA
map00380,Tryptophan metabolism,1,NA,NA,NA,NA
map00520,Amino Sugar Metabolism,1,NA,NA,NA,NA
map00561,Glycerolipid Metabolism,1,NA,NA,NA,NA
map00565,Ether lipid metabolism,1,NA,NA,NA,NA
map00630,Glyoxylate and dicarboxylate metabolism,1,NA,NA,NA,NA
map04010,MAPK signaling pathway,1,NA,NA,NA,NA
map04020,Calcium signaling pathway,1,NA,NA,NA,NA
map04024,cAMP signaling pathway,1,NA,NA,NA,NA
map04062,Chemokine signaling pathway,1,NA,NA,NA,NA
map04270,Vascular smooth muscle contraction,1,NA,NA,NA,NA
map04613,Neutrophil extracellular trap formation,1,NA,NA,NA,NA
map04725,Cholinergic synapse,1,NA,NA,NA,NA
map04914,Progesterone-mediated oocyte maturation,1,NA,NA,NA,NA
map04915,Estrogen signaling pathway,1,NA,NA,NA,NA
map04916,Melanogenesis,1,NA,NA,NA,NA
map04970,Salivary secretion,1,NA,NA,NA,NA
map04972,Pancreatic secretion,1,NA,NA,NA,NA
map05152,Tuberculosis,1,NA,NA,NA,NA
map05163,Human cytomegalovirus infection,1,NA,NA,NA,NA
map05166,Human T-cell leukemia virus 1 infection,1,NA,NA,NA,NA
map05170,Human immunodeficiency virus 1 infection,1,NA,NA,NA,NA
map05417,Lipid and atherosclerosis,1,NA,NA,NA,NA
R-HSA-111885,Opioid Signalling,1,NA,NA,NA,NA
R-HSA-112310,Neurotransmitter release cycle,1,NA,NA,NA,NA
R-HSA-112315,Transmission across Chemical Synapses,1,NA,NA,NA,NA
R-HSA-112316,Neuronal System,1,NA,NA,NA,NA
R-HSA-112382,Formation of RNA Pol II elongation complex,1,NA,NA,NA,NA
R-HSA-1442490,Collagen degradation,1,NA,NA,NA,NA
R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,1,NA,NA,NA,NA
R-HSA-1474151,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",1,NA,NA,NA,NA
R-HSA-1483166,Synthesis of PA,1,NA,NA,NA,NA
R-HSA-1483213,Synthesis of PE,1,NA,NA,NA,NA
R-HSA-1483255,PI Metabolism,1,NA,NA,NA,NA
R-HSA-1500620,Meiosis,1,NA,NA,NA,NA
R-HSA-1638074,Keratan sulfate/keratin metabolism,1,NA,NA,NA,NA
R-HSA-165159,MTOR signalling,1,NA,NA,NA,NA
R-HSA-1655829,Regulation of cholesterol biosynthesis by SREBP (SREBF),1,NA,NA,NA,NA
R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,1,NA,NA,NA,NA
R-HSA-166520,Signaling by NTRKs,1,NA,NA,NA,NA
R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,1,NA,NA,NA,NA
R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,1,NA,NA,NA,NA
R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,1,NA,NA,NA,NA
R-HSA-168249,Innate Immune System,1,NA,NA,NA,NA
R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,1,NA,NA,NA,NA
R-HSA-187037,Signaling by NTRK1 (TRKA),1,NA,NA,NA,NA
R-HSA-198725,Nuclear Events (kinase and transcription factor activation),1,NA,NA,NA,NA
R-HSA-198753,ERK/MAPK targets,1,NA,NA,NA,NA
R-HSA-1989781,PPARA activates gene expression,1,NA,NA,NA,NA
R-HSA-2022857,Keratan sulfate degradation,1,NA,NA,NA,NA
R-HSA-2024101,CS/DS degradation,1,NA,NA,NA,NA
R-HSA-202670,ERKs are inactivated,1,NA,NA,NA,NA
R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,1,NA,NA,NA,NA
R-HSA-2029485,Role of phospholipids in phagocytosis,1,NA,NA,NA,NA
R-HSA-2046104,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,1,NA,NA,NA,NA
R-HSA-2046105,Linoleic acid (LA) metabolism,1,NA,NA,NA,NA
R-HSA-2046106,alpha-linolenic acid (ALA) metabolism,1,NA,NA,NA,NA
R-HSA-216083,Integrin cell surface interactions,1,NA,NA,NA,NA
R-HSA-264876,Insulin processing,1,NA,NA,NA,NA
R-HSA-2672351,Stimuli-sensing channels,1,NA,NA,NA,NA
R-HSA-2980736,Peptide hormone metabolism,1,NA,NA,NA,NA
R-HSA-2980766,Nuclear Envelope Breakdown,1,NA,NA,NA,NA
R-HSA-3214847,HATs acetylate histones,1,NA,NA,NA,NA
R-HSA-3295583,TRP channels,1,NA,NA,NA,NA
R-HSA-3299685,Detoxification of Reactive Oxygen Species,1,NA,NA,NA,NA
R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,1,NA,NA,NA,NA
R-HSA-373752,Netrin-1 signaling,1,NA,NA,NA,NA
R-HSA-375165,NCAM signaling for neurite out-growth,1,NA,NA,NA,NA
R-HSA-3769402,Deactivation of the beta-catenin transactivating complex,1,NA,NA,NA,NA
R-HSA-3781865,Diseases of glycosylation,1,NA,NA,NA,NA
R-HSA-383280,Nuclear Receptor transcription pathway,1,NA,NA,NA,NA
R-HSA-388841,Costimulation by the CD28 family,1,NA,NA,NA,NA
R-HSA-389356,CD28 co-stimulation,1,NA,NA,NA,NA
R-HSA-389357,CD28 dependent PI3K/Akt signaling,1,NA,NA,NA,NA
R-HSA-392451,G beta:gamma signalling through PI3Kgamma,1,NA,NA,NA,NA
R-HSA-400206,Regulation of lipid metabolism by PPARalpha,1,NA,NA,NA,NA
R-HSA-400253,Circadian Clock,1,NA,NA,NA,NA
R-HSA-418594,G alpha (i) signalling events,1,NA,NA,NA,NA
R-HSA-419037,NCAM1 interactions,1,NA,NA,NA,NA
R-HSA-4419969,Depolymerisation of the Nuclear Lamina,1,NA,NA,NA,NA
R-HSA-446353,Cell-extracellular matrix interactions,1,NA,NA,NA,NA
R-HSA-446388,Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,1,NA,NA,NA,NA
R-HSA-446728,Cell junction organization,1,NA,NA,NA,NA
R-HSA-448424,Interleukin-17 signaling,1,NA,NA,NA,NA
R-HSA-450282,MAPK targets/ Nuclear events mediated by MAP kinases,1,NA,NA,NA,NA
R-HSA-450294,MAP kinase activation,1,NA,NA,NA,NA
R-HSA-5218859,Regulated Necrosis,1,NA,NA,NA,NA
R-HSA-5357769,Caspase activation via extrinsic apoptotic signalling pathway,1,NA,NA,NA,NA
R-HSA-5358351,Signaling by Hedgehog,1,NA,NA,NA,NA
R-HSA-5601884,PIWI-interacting RNA (piRNA) biogenesis,1,NA,NA,NA,NA
R-HSA-5610787,Hedgehog 'off' state,1,NA,NA,NA,NA
R-HSA-5619102,SLC transporter disorders,1,NA,NA,NA,NA
R-HSA-5619115,Disorders of transmembrane transporters,1,NA,NA,NA,NA
R-HSA-5620924,Intraflagellar transport,1,NA,NA,NA,NA
R-HSA-5620971,Pyroptosis,1,NA,NA,NA,NA
R-HSA-5633008,TP53 Regulates Transcription of Cell Death Genes,1,NA,NA,NA,NA
R-HSA-5686938,Regulation of TLR by endogenous ligand,1,NA,NA,NA,NA
R-HSA-674695,RNA Polymerase II Pre-transcription Events,1,NA,NA,NA,NA
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,1,NA,NA,NA,NA
R-HSA-6794362,Protein-protein interactions at synapses,1,NA,NA,NA,NA
R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,1,NA,NA,NA,NA
R-HSA-6802957,Oncogenic MAPK signaling,1,NA,NA,NA,NA
R-HSA-6803157,Antimicrobial peptides,1,NA,NA,NA,NA
R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,1,NA,NA,NA,NA
R-HSA-6804757,Regulation of TP53 Degradation,1,NA,NA,NA,NA
R-HSA-6806003,Regulation of TP53 Expression and Degradation,1,NA,NA,NA,NA
R-HSA-6807505,RNA polymerase II transcribes snRNA genes,1,NA,NA,NA,NA
R-HSA-6811440,Retrograde transport at the Trans-Golgi-Network,1,NA,NA,NA,NA
R-HSA-68875,Mitotic Prophase,1,NA,NA,NA,NA
R-HSA-74182,Ketone body metabolism,1,NA,NA,NA,NA
R-HSA-75109,Triglyceride biosynthesis,1,NA,NA,NA,NA
R-HSA-75955,RNA Polymerase II Transcription Elongation,1,NA,NA,NA,NA
R-HSA-77111,Synthesis of Ketone Bodies,1,NA,NA,NA,NA
R-HSA-8878166,Transcriptional regulation by RUNX2,1,NA,NA,NA,NA
R-HSA-8948216,Collagen chain trimerization,1,NA,NA,NA,NA
R-HSA-8978934,Metabolism of cofactors,1,NA,NA,NA,NA
R-HSA-8979227,Triglyceride metabolism,1,NA,NA,NA,NA
R-HSA-936837,Ion transport by P-type ATPases,1,NA,NA,NA,NA
R-HSA-9659379,Sensory processing of sound,1,NA,NA,NA,NA
R-HSA-9662360,Sensory processing of sound by inner hair cells of the cochlea,1,NA,NA,NA,NA
R-HSA-9662361,Sensory processing of sound by outer hair cells of the cochlea,1,NA,NA,NA,NA
R-HSA-9690406,Transcriptional regulation of testis differentiation,1,NA,NA,NA,NA
R-HSA-9748784,Drug ADME,1,NA,NA,NA,NA
R-HSA-9749641,Aspirin ADME,1,NA,NA,NA,NA
R-HSA-975138,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,1,NA,NA,NA,NA
R-HSA-975155,MyD88 dependent cascade initiated on endosome,1,NA,NA,NA,NA
R-HSA-977443,GABA receptor activation,1,NA,NA,NA,NA
WP129,Matrix metalloproteinases,1,NA,NA,NA,NA
WP1471,Target of rapamycin signaling,1,NA,NA,NA,NA
WP1530,miRNA regulation of DNA damage response,1,NA,NA,NA,NA
WP1544,MicroRNAs in cardiomyocyte hypertrophy,1,NA,NA,NA,NA
WP1742,TP53 network,1,NA,NA,NA,NA
WP1793,Cell junction organization,1,NA,NA,NA,NA
WP1797,Circadian Clock,1,NA,NA,NA,NA
WP1799,Costimulation by the CD28 family,1,NA,NA,NA,NA
WP1857,Metabolism of water-soluble vitamins and cofactors,1,NA,NA,NA,NA
WP1866,NCAM signaling for neurite out-growth,1,NA,NA,NA,NA
WP1868,Netrin-1 signaling,1,NA,NA,NA,NA
WP1871,Neurotransmitter release cycle,1,NA,NA,NA,NA
WP1873,Signaling by NTRK1,1,NA,NA,NA,NA
WP1971,Integrated cancer pathway,1,NA,NA,NA,NA
WP1978,Opioid signaling,1,NA,NA,NA,NA
WP1982,Sterol regulatory element-binding proteins (SREBP) signaling,1,NA,NA,NA,NA
WP2261,Glioblastoma signaling pathways,1,NA,NA,NA,NA
WP2272,Pathogenic Escherichia coli infection,1,NA,NA,NA,NA
WP2355,Corticotropin-releasing hormone signaling pathway,1,NA,NA,NA,NA
WP2516,ATM signaling pathway,1,NA,NA,NA,NA
WP254,Apoptosis,1,NA,NA,NA,NA
WP2572,Primary focal segmental glomerulosclerosis (FSGS),1,NA,NA,NA,NA
WP2583,T cell receptor and co-stimulatory signaling,1,NA,NA,NA,NA
WP26,S1P receptor signal transduction,1,NA,NA,NA,NA
WP2654,Mitotic Prophase,1,NA,NA,NA,NA
WP2708,Collagen degradation,1,NA,NA,NA,NA
WP2724,Alpha-linolenic (omega-3) and linoleic (omega-6) acid metabolism,1,NA,NA,NA,NA
WP2736,Insulin processing,1,NA,NA,NA,NA
WP2747,PI Metabolism,1,NA,NA,NA,NA
WP2777,Translocation of SLC2A4 (GLUT4) to the plasma membrane,1,NA,NA,NA,NA
WP2795,Cardiac hypertrophic response,1,NA,NA,NA,NA
WP2797,Regulation of lipid metabolism by PPARalpha,1,NA,NA,NA,NA
WP2824,Detoxification of reactive oxygen species,1,NA,NA,NA,NA
WP2840,Hair follicle development: cytodifferentiation - part 3 of 3,1,NA,NA,NA,NA
WP3286,Copper homeostasis,1,NA,NA,NA,NA
WP3316,Hedgehog 'off' state,1,NA,NA,NA,NA
WP3318,MTOR signaling,1,NA,NA,NA,NA
WP34,Ovarian infertility,1,NA,NA,NA,NA
WP3591,Sleep regulation,1,NA,NA,NA,NA
WP3599,Transcription factor regulation in adipogenesis,1,NA,NA,NA,NA
WP3602,Metabolism overview,1,NA,NA,NA,NA
WP3624,Lung fibrosis,1,NA,NA,NA,NA
WP3651,Pathways affected in adenoid cystic carcinoma,1,NA,NA,NA,NA
WP3676,BDNF-TrkB signaling,1,NA,NA,NA,NA
WP3802,TP53 Regulates Transcription of Cell Death Genes,1,NA,NA,NA,NA
WP3807,Regulation of TP53 Expression and Degradation,1,NA,NA,NA,NA
WP3808,TP53 Regulates Transcription of DNA Repair Genes,1,NA,NA,NA,NA
WP3827,RNA polymerase II transcribes snRNA genes,1,NA,NA,NA,NA
WP3838,Regulation of TP53 Activity through Phosphorylation,1,NA,NA,NA,NA
WP3863,T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection,1,NA,NA,NA,NA
WP3872,Regulation of apoptosis by parathyroid hormone-related protein,1,NA,NA,NA,NA
WP3878,ATM signaling in development and disease,1,NA,NA,NA,NA
WP395,IL-4 signaling pathway,1,NA,NA,NA,NA
WP3959,DNA IR-double strand breaks and cellular response via ATM,1,NA,NA,NA,NA
WP3998,Prader-Willi and Angelman syndrome,1,NA,NA,NA,NA
WP4016,DNA IR-damage and cellular response via ATR,1,NA,NA,NA,NA
WP4066,Interleukin-4 and Interleukin-13 signaling,1,NA,NA,NA,NA
WP408,Oxidative stress response,1,NA,NA,NA,NA
WP4094,Collagen chain trimerization,1,NA,NA,NA,NA
WP4101,Antimicrobial peptides,1,NA,NA,NA,NA
WP4131,Triglyceride metabolism,1,NA,NA,NA,NA
WP4313,Ferroptosis,1,NA,NA,NA,NA
WP4329,miRNA role in immune response in sepsis,1,NA,NA,NA,NA
WP4415,Transcriptional regulation by RUNX2,1,NA,NA,NA,NA
WP4536,Genes related to primary cilium development (based on CRISPR),1,NA,NA,NA,NA
WP4595,Urea cycle and associated pathways,1,NA,NA,NA,NA
WP465,Tryptophan metabolism,1,NA,NA,NA,NA
WP4655,Cytosolic DNA-sensing pathway,1,NA,NA,NA,NA
WP4659,Gastrin signaling pathway,1,NA,NA,NA,NA
WP4674,Head and neck squamous cell carcinoma,1,NA,NA,NA,NA
WP4686,"Leucine, isoleucine and valine metabolism",1,NA,NA,NA,NA
WP4718,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,1,NA,NA,NA,NA
WP4721,Eicosanoid metabolism via lipooxygenases (LOX),1,NA,NA,NA,NA
WP4724,Omega-9 fatty acid synthesis,1,NA,NA,NA,NA
WP4747,Netrin-UNC5B signaling pathway,1,NA,NA,NA,NA
WP4814,Somatic sex determination,1,NA,NA,NA,NA
WP4842,Mammalian disorder of sexual development,1,NA,NA,NA,NA
WP4932,7q11.23 copy number variation syndrome,1,NA,NA,NA,NA
WP4949,16p11.2 proximal deletion syndrome,1,NA,NA,NA,NA
WP4990,Metabolism of cofactors,1,NA,NA,NA,NA
WP5048,Transcriptional regulation of testis differentiation,1,NA,NA,NA,NA
WP5055,Burn wound healing,1,NA,NA,NA,NA
WP5072,Modulators of TCR signaling and T cell activation,1,NA,NA,NA,NA
WP5078,T cell modulation in pancreatic cancer,1,NA,NA,NA,NA
